#Theta Curv_0 Curv_1 Curv_2 Curv_3
0.000000 7.798592+0.000000j 7.793241+0.000000j 7.784114+0.000000j -7.789446+0.000000j
0.128228 3.899296+0.000000j -3.887753+0.000000j -3.870364+0.000000j -3.881743+0.000000j
0.256457 3.899296+0.000000j -3.884827+0.000000j -3.869904+0.000000j 3.883719+0.000000j
0.384685 3.899296+0.000000j 3.879074+0.000000j 3.867690+0.000000j 3.886451+0.000000j
0.512913 3.899296+0.000000j 3.869103+0.000000j 3.861730+0.000000j 3.889363+0.000000j
0.641141 3.899296+0.000000j 3.853278+0.000000j 3.849840+0.000000j 3.891985+0.000000j
0.769370 3.899296+0.000000j 3.831486+0.000000j 3.831439+0.000000j 3.894022+0.000000j
0.897598 3.899296+0.000000j 3.808792+0.000000j 3.811155+0.000000j 3.895331+0.000000j
1.025826 3.899296+0.000000j 3.796465+0.000000j 3.799869+0.000000j 3.895860+0.000000j
1.154054 3.899296+0.000000j 3.802917+0.000000j 3.805794+0.000000j 3.895595+0.000000j
1.282283 3.899296+0.000000j 3.823556+0.000000j 3.824442+0.000000j 3.894543+0.000000j
1.410511 3.899296+0.000000j 3.846573+0.000000j 3.844347+0.000000j 3.892739+0.000000j
1.538739 3.899296+0.000000j 3.864544+0.000000j 3.858515+0.000000j 3.890288+0.000000j
1.666968 3.899296+0.000000j 3.876303+0.000000j 3.866233+0.000000j 3.887428+0.000000j
1.795196 3.899296+0.000000j 3.883280+0.000000j 3.869447+0.000000j 3.884575+0.000000j
1.923424 3.899296+0.000000j 3.887031+0.000000j 3.870309+0.000000j 3.882283+0.000000j
2.051652 3.899296+0.000000j 3.888548+0.000000j 3.870370+0.000000j 3.881100+0.000000j
2.179881 3.899296+0.000000j 3.888254+0.000000j 3.870375+0.000000j 3.881345+0.000000j
2.308109 3.899296+0.000000j 3.886065+0.000000j 3.870172+0.000000j 3.882948+0.000000j
2.436337 3.899296+0.000000j 3.881380+0.000000j 3.868735+0.000000j 3.885493+0.000000j
2.564565 3.899296+0.000000j 3.873001+0.000000j 3.864275+0.000000j 3.888405+0.000000j
2.692794 3.899296+0.000000j 3.859277+0.000000j 3.854565+0.000000j 3.891165+0.000000j
2.821022 3.899296+0.000000j 3.839251+0.000000j 3.838160+0.000000j 3.893420+0.000000j
2.949250 3.899296+0.000000j 3.815838+0.000000j 3.817532+0.000000j 3.894980+0.000000j
3.077479 3.899296+0.000000j 3.798684+0.000000j 3.801911+0.000000j 3.895772+0.000000j
3.205707 3.899296+0.000000j 3.798684+0.000000j 3.801911+0.000000j 3.895772+0.000000j
3.333935 3.899296+0.000000j 3.815838+0.000000j 3.817532+0.000000j 3.894980+0.000000j
3.462163 3.899296+0.000000j 3.839251+0.000000j 3.838160+0.000000j 3.893420+0.000000j
3.590392 3.899296+0.000000j 3.859277+0.000000j 3.854565+0.000000j 3.891165+0.000000j
3.718620 3.899296+0.000000j 3.873001+0.000000j 3.864275+0.000000j 3.888405+0.000000j
3.846848 3.899296+0.000000j 3.881380+0.000000j 3.868735+0.000000j 3.885493+0.000000j
3.975076 3.899296+0.000000j 3.886065+0.000000j 3.870172+0.000000j 3.882948+0.000000j
4.103305 3.899296+0.000000j 3.888254+0.000000j 3.870375+0.000000j 3.881345+0.000000j
4.231533 3.899296+0.000000j 3.888548+0.000000j 3.870370+0.000000j 3.881100+0.000000j
4.359761 3.899296+0.000000j -3.887031+0.000000j -3.870309+0.000000j 3.882283+0.000000j
4.487990 3.899296+0.000000j -3.883280+0.000000j -3.869447+0.000000j 3.884575+0.000000j
4.616218 3.899296+0.000000j 3.876303+0.000000j 3.866233+0.000000j 3.887428+0.000000j
4.744446 3.899296+0.000000j 3.864544+0.000000j 3.858515+0.000000j 3.890288+0.000000j
4.872674 3.899296+0.000000j 3.846573+0.000000j 3.844347+0.000000j 3.892739+0.000000j
5.000903 3.899296+0.000000j 3.823556+0.000000j 3.824442+0.000000j 3.894543+0.000000j
5.129131 3.899296+0.000000j 3.802917+0.000000j 3.805794+0.000000j 3.895595+0.000000j
5.257359 3.899296+0.000000j 3.796465+0.000000j 3.799869+0.000000j 3.895860+0.000000j
5.385587 3.899296+0.000000j -3.808792+0.000000j -3.811155+0.000000j 3.895331+0.000000j
5.513816 3.899296+0.000000j -3.831486+0.000000j -3.831439+0.000000j 3.894022+0.000000j
5.642044 3.899296+0.000000j 3.853278+0.000000j 3.849840+0.000000j 3.891985+0.000000j
5.770272 3.899296+0.000000j 3.869103+0.000000j 3.861730+0.000000j 3.889363+0.000000j
5.898500 3.899296+0.000000j 3.879074+0.000000j 3.867690+0.000000j 3.886451+0.000000j
6.026729 3.899296+0.000000j 3.884827+0.000000j 3.869904+0.000000j 3.883719+0.000000j
6.154957 3.899296+0.000000j 3.887753+0.000000j 3.870364+0.000000j -3.881743+0.000000j
6.283185 7.798592+0.000000j 7.793241+0.000000j 7.784114+0.000000j -7.789446+0.000000j
