# Accumulated Berry phases using Original method
# Theta (rad)	Theta (deg)	State 0	State 1	State 2	State 3
0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000
0.010061	0.576461	0.000000	-0.005031	-0.005031	0.000000
0.020122	1.152922	0.000000	-0.010061	-0.010061	0.000000
0.030183	1.729384	0.000000	-0.015092	-0.015092	0.000000
0.040245	2.305845	0.000000	-0.020122	-0.020122	0.000000
0.050306	2.882306	0.000000	-0.025153	-0.025153	0.000000
0.060367	3.458767	0.000000	-0.030183	-0.030183	0.000000
0.070428	4.035228	0.000000	-0.035214	-0.035214	0.000000
0.080489	4.611689	0.000000	-0.040245	-0.040245	0.000000
0.090550	5.188151	0.000000	-0.045275	-0.045275	0.000000
0.100611	5.764612	0.000000	-0.050306	-0.050306	0.000000
0.110673	6.341073	0.000000	-0.055336	-0.055336	0.000000
0.120734	6.917534	0.000000	-0.060367	-0.060367	0.000000
0.130795	7.493995	0.000000	-0.065397	-0.065397	0.000000
0.140856	8.070456	0.000000	-0.070428	-0.070428	0.000000
0.150917	8.646918	0.000000	-0.075459	-0.075459	0.000000
0.160978	9.223379	0.000000	-0.080489	-0.080489	0.000000
0.171039	9.799840	0.000000	-0.085520	-0.085520	0.000000
0.181101	10.376301	0.000000	-0.090550	-0.090550	0.000000
0.191162	10.952762	0.000000	-0.095581	-0.095581	0.000000
0.201223	11.529223	0.000000	-0.100611	-0.100611	0.000000
0.211284	12.105685	0.000000	-0.105642	-0.105642	0.000000
0.221345	12.682146	0.000000	-0.110673	-0.110673	0.000000
0.231406	13.258607	0.000000	-0.115703	-0.115703	0.000000
0.241467	13.835068	0.000000	-0.120734	-0.120734	0.000000
0.251529	14.411529	0.000000	-0.125764	-0.125764	0.000000
0.261590	14.987990	0.000000	-0.130795	-0.130795	0.000000
0.271651	15.564452	0.000000	-0.135825	-0.135825	0.000000
0.281712	16.140913	0.000000	-0.140856	-0.140856	0.000000
0.291773	16.717374	0.000000	-0.145887	-0.145887	0.000000
0.301834	17.293835	0.000000	-0.150917	-0.150917	0.000000
0.311896	17.870296	0.000000	-0.155948	-0.155948	0.000000
0.321957	18.446757	0.000000	-0.160978	-0.160978	0.000000
0.332018	19.023219	0.000000	-0.166009	-0.166009	0.000000
0.342079	19.599680	0.000000	-0.171039	-0.171039	0.000000
0.352140	20.176141	0.000000	-0.176070	-0.176070	0.000000
0.362201	20.752602	0.000000	-0.181101	-0.181101	0.000000
0.372262	21.329063	0.000000	-0.186131	-0.186131	0.000000
0.382324	21.905524	0.000000	-0.191162	-0.191162	0.000000
0.392385	22.481986	0.000000	-0.196192	-0.196192	0.000000
0.402446	23.058447	0.000000	-0.201223	-0.201223	0.000000
0.412507	23.634908	0.000000	-0.206253	-0.206253	0.000000
0.422568	24.211369	0.000000	-0.211284	-0.211284	0.000000
0.432629	24.787830	0.000000	-0.216315	-0.216315	0.000000
0.442690	25.364291	0.000000	-0.221345	-0.221345	0.000000
0.452752	25.940753	0.000000	-0.226376	-0.226376	0.000000
0.462813	26.517214	0.000000	-0.231406	-0.231406	0.000000
0.472874	27.093675	0.000000	-0.236437	-0.236437	0.000000
0.482935	27.670136	0.000000	-0.241467	-0.241467	0.000000
0.492996	28.246597	0.000000	-0.246498	-0.246498	0.000000
0.503057	28.823058	0.000000	-0.251529	-0.251529	0.000000
0.513118	29.399520	0.000000	-0.256559	-0.256559	0.000000
0.523180	29.975981	0.000000	-0.261590	-0.261590	0.000000
0.533241	30.552442	0.000000	-0.266620	-0.266620	0.000000
0.543302	31.128903	0.000000	-0.271651	-0.271651	0.000000
0.553363	31.705364	0.000000	-0.276681	-0.276681	0.000000
0.563424	32.281825	0.000000	-0.281712	-0.281712	0.000000
0.573485	32.858287	0.000000	-0.286743	-0.286743	0.000000
0.583546	33.434748	0.000000	-0.291773	-0.291773	0.000000
0.593608	34.011209	0.000000	-0.296804	-0.296804	0.000000
0.603669	34.587670	0.000000	-0.301834	-0.301834	0.000000
0.613730	35.164131	0.000000	-0.306865	-0.306865	0.000000
0.623791	35.740592	0.000000	-0.311896	-0.311896	0.000000
0.633852	36.317054	0.000000	-0.316926	-0.316926	0.000000
0.643913	36.893515	0.000000	-0.321957	-0.321957	0.000000
0.653974	37.469976	0.000000	-0.326987	-0.326987	0.000000
