Berry Phase Accumulation Data
===========================

Final Berry Phases:
State 0: 0.00000000
State 1: 3.14159265
State 2: 3.14159265
State 3: -0.00000000

Accumulated Berry Phases vs Theta:
Theta (degrees)	State 0	State 1	State 2	State 3
0.00	0.00000000	0.00000000	0.00000000	3.14159265	
7.35	0.00000000	0.00000000	0.00000000	3.14159265	
14.69	0.00000000	0.00000000	0.00000000	3.14159265	
22.04	0.00000000	0.00000000	0.00000000	3.14159265	
29.39	0.00000000	3.14159265	3.14159265	3.14159265	
36.73	0.00000000	3.14159265	3.14159265	3.14159265	
44.08	0.00000000	3.14159265	3.14159265	3.14159265	
51.43	0.00000000	3.14159265	3.14159265	3.14159265	
58.78	0.00000000	3.14159265	3.14159265	3.14159265	
66.12	0.00000000	3.14159265	3.14159265	3.14159265	
73.47	0.00000000	3.14159265	3.14159265	3.14159265	
80.82	0.00000000	3.14159265	3.14159265	3.14159265	
88.16	0.00000000	3.14159265	3.14159265	3.14159265	
95.51	0.00000000	3.14159265	3.14159265	3.14159265	
102.86	0.00000000	3.14159265	3.14159265	3.14159265	
110.20	0.00000000	3.14159265	3.14159265	3.14159265	
117.55	0.00000000	3.14159265	3.14159265	3.14159265	
124.90	0.00000000	3.14159265	3.14159265	3.14159265	
132.24	0.00000000	6.28318531	6.28318531	3.14159265	
139.59	0.00000000	6.28318531	6.28318531	3.14159265	
146.94	0.00000000	9.42477796	9.42477796	3.14159265	
154.29	0.00000000	9.42477796	9.42477796	3.14159265	
161.63	0.00000000	9.42477796	9.42477796	3.14159265	
168.98	0.00000000	9.42477796	9.42477796	3.14159265	
176.33	0.00000000	9.42477796	9.42477796	3.14159265	
183.67	0.00000000	9.42477796	9.42477796	3.14159265	
191.02	0.00000000	9.42477796	9.42477796	3.14159265	
198.37	0.00000000	9.42477796	9.42477796	3.14159265	
205.71	0.00000000	9.42477796	9.42477796	3.14159265	
213.06	0.00000000	9.42477796	9.42477796	3.14159265	
220.41	0.00000000	9.42477796	9.42477796	3.14159265	
227.76	0.00000000	9.42477796	9.42477796	3.14159265	
235.10	0.00000000	9.42477796	9.42477796	3.14159265	
242.45	0.00000000	9.42477796	9.42477796	3.14159265	
249.80	0.00000000	9.42477796	9.42477796	3.14159265	
257.14	0.00000000	9.42477796	9.42477796	3.14159265	
264.49	0.00000000	12.56637061	12.56637061	3.14159265	
271.84	0.00000000	12.56637061	12.56637061	3.14159265	
279.18	0.00000000	12.56637061	12.56637061	3.14159265	
286.53	0.00000000	12.56637061	12.56637061	3.14159265	
293.88	0.00000000	12.56637061	12.56637061	3.14159265	
301.22	0.00000000	12.56637061	12.56637061	3.14159265	
308.57	0.00000000	15.70796327	15.70796327	3.14159265	
315.92	0.00000000	15.70796327	15.70796327	3.14159265	
323.27	0.00000000	15.70796327	15.70796327	3.14159265	
330.61	0.00000000	15.70796327	15.70796327	3.14159265	
337.96	0.00000000	15.70796327	15.70796327	3.14159265	
345.31	0.00000000	15.70796327	15.70796327	3.14159265	
352.65	0.00000000	15.70796327	15.70796327	6.28318531	
360.00	0.00000000	15.70796327	15.70796327	6.28318531	
