Berry Phase Accumulation Data
===========================

Final Berry Phases:
State 0: 0.00000000
State 1: 0.00000000
State 2: 0.00000000
State 3: 0.00000000

Accumulated Berry Phases vs Theta:
Theta (degrees)	State 0	State 1	State 2	State 3
0.00	0.00000000	0.00000000	0.00000000	0.00000000	
7.35	0.00000000	0.00000000	0.00000000	0.00000000	
14.69	0.00000000	0.00000000	0.00000000	0.00000000	
22.04	0.00000000	0.00000000	0.00000000	0.00000000	
29.39	0.00000000	0.00000000	0.00000000	0.00000000	
36.73	0.00000000	0.00000000	0.00000000	0.00000000	
44.08	0.00000000	0.00000000	0.00000000	0.00000000	
51.43	0.00000000	0.00000000	0.00000000	0.00000000	
58.78	0.00000000	0.00000000	0.00000000	0.00000000	
66.12	0.00000000	0.00000000	0.00000000	0.00000000	
73.47	0.00000000	0.00000000	0.00000000	0.00000000	
80.82	0.00000000	0.00000000	0.00000000	0.00000000	
88.16	0.00000000	0.00000000	0.00000000	0.00000000	
95.51	0.00000000	0.00000000	0.00000000	0.00000000	
102.86	0.00000000	0.00000000	0.00000000	0.00000000	
110.20	0.00000000	0.00000000	0.00000000	0.00000000	
117.55	0.00000000	0.00000000	0.00000000	0.00000000	
124.90	0.00000000	0.00000000	0.00000000	0.00000000	
132.24	0.00000000	0.00000000	0.00000000	0.00000000	
139.59	0.00000000	0.00000000	0.00000000	0.00000000	
146.94	0.00000000	0.00000000	0.00000000	0.00000000	
154.29	0.00000000	0.00000000	0.00000000	0.00000000	
161.63	0.00000000	0.00000000	0.00000000	0.00000000	
168.98	0.00000000	0.00000000	0.00000000	0.00000000	
176.33	0.00000000	0.00000000	0.00000000	0.00000000	
183.67	0.00000000	0.00000000	0.00000000	0.00000000	
191.02	0.00000000	0.00000000	0.00000000	0.00000000	
198.37	0.00000000	0.00000000	0.00000000	0.00000000	
205.71	0.00000000	0.00000000	0.00000000	0.00000000	
213.06	0.00000000	0.00000000	0.00000000	0.00000000	
220.41	0.00000000	0.00000000	0.00000000	0.00000000	
227.76	0.00000000	0.00000000	0.00000000	0.00000000	
235.10	0.00000000	0.00000000	0.00000000	0.00000000	
242.45	0.00000000	0.00000000	0.00000000	0.00000000	
249.80	0.00000000	0.00000000	0.00000000	0.00000000	
257.14	0.00000000	0.00000000	0.00000000	0.00000000	
264.49	0.00000000	0.00000000	0.00000000	0.00000000	
271.84	0.00000000	0.00000000	0.00000000	0.00000000	
279.18	0.00000000	0.00000000	0.00000000	0.00000000	
286.53	0.00000000	0.00000000	0.00000000	0.00000000	
293.88	0.00000000	0.00000000	0.00000000	0.00000000	
301.22	0.00000000	0.00000000	0.00000000	0.00000000	
308.57	0.00000000	0.00000000	0.00000000	0.00000000	
315.92	0.00000000	0.00000000	0.00000000	0.00000000	
323.27	0.00000000	0.00000000	0.00000000	0.00000000	
330.61	0.00000000	0.00000000	0.00000000	0.00000000	
337.96	0.00000000	0.00000000	0.00000000	0.00000000	
345.31	0.00000000	0.00000000	0.00000000	0.00000000	
352.65	0.00000000	0.00000000	0.00000000	0.00000000	
360.00	0.00000000	0.00000000	0.00000000	0.00000000	
