Berry Phase Accumulation Data
===========================

Final Berry Phases:
State 0: 0.00000000
State 1: -1.57079633
State 2: -1.57079633
State 3: 0.00000000

Accumulated Berry Phases vs Theta:
Theta (degrees)	State 0	State 1	State 2	State 3
0.00	0.00000000	-0.00000000	-0.00000000	0.00000000
0.18	0.00000000	-0.00157237	-0.00157237	0.00000000
0.36	0.00000000	-0.00314474	-0.00314474	0.00000000
0.54	0.00000000	-0.00471711	-0.00471711	0.00000000
0.72	0.00000000	-0.00628947	-0.00628947	0.00000000
0.90	0.00000000	-0.00786184	-0.00786184	0.00000000
1.08	0.00000000	-0.00943421	-0.00943421	0.00000000
1.26	0.00000000	-0.01100658	-0.01100658	0.00000000
1.44	0.00000000	-0.01257895	-0.01257895	0.00000000
1.62	0.00000000	-0.01415132	-0.01415132	0.00000000
1.80	0.00000000	-0.01572369	-0.01572369	0.00000000
1.98	0.00000000	-0.01729606	-0.01729606	0.00000000
2.16	0.00000000	-0.01886842	-0.01886842	0.00000000
2.34	0.00000000	-0.02044079	-0.02044079	0.00000000
2.52	0.00000000	-0.02201316	-0.02201316	0.00000000
2.70	0.00000000	-0.02358553	-0.02358553	0.00000000
2.88	0.00000000	-0.02515790	-0.02515790	0.00000000
3.06	0.00000000	-0.02673027	-0.02673027	0.00000000
3.24	0.00000000	-0.02830264	-0.02830264	0.00000000
3.42	0.00000000	-0.02987501	-0.02987501	0.00000000
3.60	0.00000000	-0.03144737	-0.03144737	0.00000000
3.78	0.00000000	-0.03301974	-0.03301974	0.00000000
3.96	0.00000000	-0.03459211	-0.03459211	0.00000000
4.14	0.00000000	-0.03616448	-0.03616448	0.00000000
4.32	0.00000000	-0.03773685	-0.03773685	0.00000000
4.50	0.00000000	-0.03930922	-0.03930922	0.00000000
4.68	0.00000000	-0.04088159	-0.04088159	0.00000000
4.86	0.00000000	-0.04245395	-0.04245395	0.00000000
5.05	0.00000000	-0.04402632	-0.04402632	0.00000000
5.23	0.00000000	-0.04559869	-0.04559869	0.00000000
5.41	0.00000000	-0.04717106	-0.04717106	0.00000000
5.59	0.00000000	-0.04874343	-0.04874343	0.00000000
5.77	0.00000000	-0.05031580	-0.05031580	0.00000000
5.95	0.00000000	-0.05188817	-0.05188817	0.00000000
6.13	0.00000000	-0.05346054	-0.05346054	0.00000000
6.31	0.00000000	-0.05503290	-0.05503290	0.00000000
6.49	0.00000000	-0.05660527	-0.05660527	0.00000000
6.67	0.00000000	-0.05817764	-0.05817764	0.00000000
