Berry Phase Accumulation Data
===========================

Final Berry Phases:
State 0: 0.00000000
State 1: 0.00000000
State 2: 0.00000000
State 3: 0.00000000

Accumulated Berry Phases vs Theta:
Theta (degrees)	State 0	State 1	State 2	State 3
0.00	0.00000000	-0.00000000	-0.00000000	0.00000000
0.58	0.00000000	-0.00503057	-0.00503057	0.00000000
1.15	0.00000000	-0.01006115	-0.01006115	0.00000000
1.73	0.00000000	-0.01509172	-0.01509172	0.00000000
2.31	0.00000000	-0.02012229	-0.02012229	0.00000000
2.88	0.00000000	-0.02515286	-0.02515286	0.00000000
3.46	0.00000000	-0.03018344	-0.03018344	0.00000000
4.04	0.00000000	-0.03521401	-0.03521401	0.00000000
4.61	0.00000000	-0.04024458	-0.04024458	0.00000000
5.19	0.00000000	-0.04527515	-0.04527515	0.00000000
5.76	0.00000000	-0.05030573	-0.05030573	0.00000000
6.34	0.00000000	-0.05533630	-0.05533630	0.00000000
6.92	0.00000000	-0.06036687	-0.06036687	0.00000000
7.49	0.00000000	-0.06539745	-0.06539745	0.00000000
8.07	0.00000000	-0.07042802	-0.07042802	0.00000000
8.65	0.00000000	-0.07545859	-0.07545859	0.00000000
9.22	0.00000000	-0.08048916	-0.08048916	0.00000000
9.80	0.00000000	-0.08551974	-0.08551974	0.00000000
10.38	0.00000000	-0.09055031	-0.09055031	0.00000000
10.95	0.00000000	-0.09558088	-0.09558088	0.00000000
11.53	0.00000000	-0.10061145	-0.10061145	0.00000000
12.11	0.00000000	-0.10564203	-0.10564203	0.00000000
12.68	0.00000000	-0.11067260	-0.11067260	0.00000000
13.26	0.00000000	-0.11570317	-0.11570317	0.00000000
13.84	0.00000000	-0.12073374	-0.12073374	0.00000000
14.41	0.00000000	-0.12576432	-0.12576432	0.00000000
14.99	0.00000000	-0.13079489	-0.13079489	0.00000000
15.56	0.00000000	-0.13582546	-0.13582546	0.00000000
16.14	0.00000000	-0.14085604	-0.14085604	0.00000000
16.72	0.00000000	-0.14588661	-0.14588661	0.00000000
17.29	0.00000000	-0.15091718	-0.15091718	0.00000000
17.87	0.00000000	-0.15594775	-0.15594775	0.00000000
18.45	0.00000000	-0.16097833	-0.16097833	0.00000000
19.02	0.00000000	-0.16600890	-0.16600890	0.00000000
19.60	0.00000000	-0.17103947	-0.17103947	0.00000000
20.18	0.00000000	-0.17607004	-0.17607004	0.00000000
20.75	0.00000000	-0.18110062	-0.18110062	0.00000000
21.33	0.00000000	-0.18613119	-0.18613119	0.00000000
21.91	0.00000000	-0.19116176	-0.19116176	0.00000000
22.48	0.00000000	-0.19619234	-0.19619234	0.00000000
23.06	0.00000000	-0.20122291	-0.20122291	0.00000000
23.63	0.00000000	-0.20625348	-0.20625348	0.00000000
24.21	0.00000000	-0.21128405	-0.21128405	0.00000000
24.79	0.00000000	-0.21631463	-0.21631463	0.00000000
25.36	0.00000000	-0.22134520	-0.22134520	0.00000000
25.94	0.00000000	-0.22637577	-0.22637577	0.00000000
26.52	0.00000000	-0.23140634	-0.23140634	0.00000000
27.09	0.00000000	-0.23643692	-0.23643692	0.00000000
27.67	0.00000000	-0.24146749	-0.24146749	0.00000000
28.25	0.00000000	-0.24649806	-0.24649806	0.00000000
28.82	0.00000000	-0.25152864	-0.25152864	0.00000000
29.40	0.00000000	-0.25655921	-0.25655921	0.00000000
29.98	0.00000000	-0.26158978	-0.26158978	0.00000000
30.55	0.00000000	-0.26662035	-0.26662035	0.00000000
31.13	0.00000000	-0.27165093	-0.27165093	0.00000000
31.71	0.00000000	-0.27668150	-0.27668150	0.00000000
32.28	0.00000000	-0.28171207	-0.28171207	0.00000000
32.86	0.00000000	-0.28674264	-0.28674264	0.00000000
33.43	0.00000000	-0.29177322	-0.29177322	0.00000000
34.01	0.00000000	-0.29680379	-0.29680379	0.00000000
34.59	0.00000000	-0.30183436	-0.30183436	0.00000000
35.16	0.00000000	-0.30686493	-0.30686493	0.00000000
35.74	0.00000000	-0.31189551	-0.31189551	0.00000000
36.32	0.00000000	-0.31692608	-0.31692608	0.00000000
36.89	0.00000000	-0.32195665	-0.32195665	0.00000000
37.47	0.00000000	-0.32698723	-0.32698723	0.00000000
38.05	0.00000000	-0.33201780	-0.33201780	0.00000000
38.62	0.00000000	-0.33704837	-0.33704837	0.00000000
39.20	0.00000000	-0.34207894	-0.34207894	0.00000000
39.78	0.00000000	-0.34710952	-0.34710952	0.00000000
40.35	0.00000000	-0.35214009	-0.35214009	0.00000000
40.93	0.00000000	-0.35717066	-0.35717066	0.00000000
41.51	0.00000000	-0.36220123	-0.36220123	0.00000000
42.08	0.00000000	-0.36723181	-0.36723181	0.00000000
42.66	0.00000000	-0.37226238	-0.37226238	0.00000000
43.23	0.00000000	-0.37729295	-0.37729295	0.00000000
43.81	0.00000000	-0.38232353	-0.38232353	0.00000000
44.39	0.00000000	-0.38735410	-0.38735410	0.00000000
44.96	0.00000000	-0.39238467	-0.39238467	0.00000000
45.54	0.00000000	-0.39741524	-0.39741524	0.00000000
46.12	0.00000000	-0.40244582	-0.40244582	0.00000000
46.69	0.00000000	-0.40747639	-0.40747639	0.00000000
47.27	0.00000000	-0.41250696	-0.41250696	0.00000000
47.85	0.00000000	-0.41753753	-0.41753753	0.00000000
48.42	0.00000000	-0.42256811	-0.42256811	0.00000000
49.00	0.00000000	-0.42759868	-0.42759868	0.00000000
49.58	0.00000000	-0.43262925	-0.43262925	0.00000000
50.15	0.00000000	-0.43765983	-0.43765983	0.00000000
50.73	0.00000000	-0.44269040	-0.44269040	0.00000000
51.31	0.00000000	-0.44772097	-0.44772097	0.00000000
51.88	0.00000000	-0.45275154	-0.45275154	0.00000000
52.46	0.00000000	-0.45778212	-0.45778212	0.00000000
53.03	0.00000000	-0.46281269	-0.46281269	0.00000000
53.61	0.00000000	-0.46784326	-0.46784326	0.00000000
54.19	0.00000000	-0.47287383	-0.47287383	0.00000000
54.76	0.00000000	-0.47790441	-0.47790441	0.00000000
55.34	0.00000000	-0.48293498	-0.48293498	0.00000000
55.92	0.00000000	-0.48796555	-0.48796555	0.00000000
56.49	0.00000000	-0.49299612	-0.49299612	0.00000000
57.07	0.00000000	-0.49802670	-0.49802670	0.00000000
57.65	0.00000000	-0.50305727	-0.50305727	0.00000000
58.22	0.00000000	-0.50808784	-0.50808784	0.00000000
58.80	0.00000000	-0.51311842	-0.51311842	0.00000000
59.38	0.00000000	-0.51814899	-0.51814899	0.00000000
59.95	0.00000000	-0.52317956	-0.52317956	0.00000000
60.53	0.00000000	-0.52821013	-0.52821013	0.00000000
61.10	0.00000000	-0.53324071	-0.53324071	0.00000000
61.68	0.00000000	-0.53827128	-0.53827128	0.00000000
62.26	0.00000000	-0.54330185	-0.54330185	0.00000000
62.83	0.00000000	-0.54833242	-0.54833242	0.00000000
63.41	0.00000000	-0.55336300	-0.55336300	0.00000000
63.99	0.00000000	-0.55839357	-0.55839357	0.00000000
64.56	0.00000000	-0.56342414	-0.56342414	0.00000000
65.14	0.00000000	-0.56845472	-0.56845472	0.00000000
65.72	0.00000000	-0.57348529	-0.57348529	0.00000000
66.29	0.00000000	-0.57851586	-0.57851586	0.00000000
66.87	0.00000000	-0.58354643	-0.58354643	0.00000000
67.45	0.00000000	-0.58857701	-0.58857701	0.00000000
68.02	0.00000000	-0.59360758	-0.59360758	0.00000000
68.60	0.00000000	-0.59863815	-0.59863815	0.00000000
69.18	0.00000000	-0.60366872	-0.60366872	0.00000000
69.75	0.00000000	-0.60869930	-0.60869930	0.00000000
70.33	0.00000000	-0.61372987	-0.61372987	0.00000000
70.90	0.00000000	-0.61876044	-0.61876044	0.00000000
71.48	0.00000000	-0.62379102	-0.62379102	0.00000000
72.06	0.00000000	-0.62882159	-0.62882159	0.00000000
72.63	0.00000000	-0.63385216	-0.63385216	0.00000000
73.21	0.00000000	-0.63888273	-0.63888273	0.00000000
73.79	0.00000000	-0.64391331	-0.64391331	0.00000000
74.36	0.00000000	-0.64894388	-0.64894388	0.00000000
74.94	0.00000000	-0.65397445	-0.65397445	0.00000000
75.52	0.00000000	-0.65900502	-0.65900502	0.00000000
76.09	0.00000000	-0.66403560	-0.66403560	0.00000000
76.67	0.00000000	-0.66906617	-0.66906617	0.00000000
77.25	0.00000000	-0.67409674	-0.67409674	0.00000000
77.82	0.00000000	-0.67912732	-0.67912732	0.00000000
78.40	0.00000000	-0.68415789	-0.68415789	0.00000000
78.98	0.00000000	-0.68918846	-0.68918846	0.00000000
79.55	0.00000000	-0.69421903	-0.69421903	0.00000000
80.13	0.00000000	-0.69924961	-0.69924961	0.00000000
80.70	0.00000000	-0.70428018	-0.70428018	0.00000000
81.28	0.00000000	-0.70931075	-0.70931075	0.00000000
81.86	0.00000000	-0.71434132	-0.71434132	0.00000000
82.43	0.00000000	-0.71937190	-0.71937190	0.00000000
83.01	0.00000000	-0.72440247	-0.72440247	0.00000000
83.59	0.00000000	-0.72943304	-0.72943304	0.00000000
84.16	0.00000000	-0.73446361	-0.73446361	0.00000000
84.74	0.00000000	-0.73949419	-0.73949419	0.00000000
85.32	0.00000000	-0.74452476	-0.74452476	0.00000000
85.89	0.00000000	-0.74955533	-0.74955533	0.00000000
86.47	0.00000000	-0.75458591	-0.75458591	0.00000000
87.05	0.00000000	-0.75961648	-0.75961648	0.00000000
87.62	0.00000000	-0.76464705	-0.76464705	0.00000000
88.20	0.00000000	-0.76967762	-0.76967762	0.00000000
88.78	0.00000000	-0.77470820	-0.77470820	0.00000000
89.35	0.00000000	-0.77973877	-0.77973877	0.00000000
89.93	0.00000000	-0.78476934	-0.78476934	0.00000000
90.50	0.00000000	-0.78979991	-0.78979991	0.00000000
91.08	0.00000000	-0.79483049	-0.79483049	0.00000000
91.66	0.00000000	-0.79986106	-0.79986106	0.00000000
92.23	0.00000000	-0.80489163	-0.80489163	0.00000000
92.81	0.00000000	-0.80992221	-0.80992221	0.00000000
93.39	0.00000000	-0.81495278	-0.81495278	0.00000000
93.96	0.00000000	-0.81998335	-0.81998335	0.00000000
94.54	0.00000000	-0.82501392	-0.82501392	0.00000000
95.12	0.00000000	-0.83004450	-0.83004450	0.00000000
95.69	0.00000000	-0.83507507	-0.83507507	0.00000000
96.27	0.00000000	-0.84010564	-0.84010564	0.00000000
96.85	0.00000000	-0.84513621	-0.84513621	0.00000000
97.42	0.00000000	-0.85016679	-0.85016679	0.00000000
98.00	0.00000000	-0.85519736	-0.85519736	0.00000000
98.57	0.00000000	-0.86022793	-0.86022793	0.00000000
99.15	0.00000000	-0.86525851	-0.86525851	0.00000000
99.73	0.00000000	-0.87028908	-0.87028908	0.00000000
100.30	0.00000000	-0.87531965	-0.87531965	0.00000000
100.88	0.00000000	-0.88035022	-0.88035022	0.00000000
101.46	0.00000000	-0.88538080	-0.88538080	0.00000000
102.03	0.00000000	-0.89041137	-0.89041137	0.00000000
102.61	0.00000000	-0.89544194	-0.89544194	0.00000000
103.19	0.00000000	-0.90047251	-0.90047251	0.00000000
103.76	0.00000000	-0.90550309	-0.90550309	0.00000000
104.34	0.00000000	-0.91053366	-0.91053366	0.00000000
104.92	0.00000000	-0.91556423	-0.91556423	0.00000000
105.49	0.00000000	-0.92059480	-0.92059480	0.00000000
106.07	0.00000000	-0.92562538	-0.92562538	0.00000000
106.65	0.00000000	-0.93065595	-0.93065595	0.00000000
107.22	0.00000000	-0.93568652	-0.93568652	0.00000000
107.80	0.00000000	-0.94071710	-0.94071710	0.00000000
108.37	0.00000000	-0.94574767	-0.94574767	0.00000000
108.95	0.00000000	-0.95077824	-0.95077824	0.00000000
109.53	0.00000000	-0.95580881	-0.95580881	0.00000000
110.10	0.00000000	-0.96083939	-0.96083939	0.00000000
110.68	0.00000000	-0.96586996	-0.96586996	0.00000000
111.26	0.00000000	-0.97090053	-0.97090053	0.00000000
111.83	0.00000000	-0.97593110	-0.97593110	0.00000000
112.41	0.00000000	-0.98096168	-0.98096168	0.00000000
112.99	0.00000000	-0.98599225	-0.98599225	0.00000000
113.56	0.00000000	-0.99102282	-0.99102282	0.00000000
114.14	0.00000000	-0.99605340	-0.99605340	0.00000000
114.72	0.00000000	-1.00108397	-1.00108397	0.00000000
115.29	0.00000000	-1.00611454	-1.00611454	0.00000000
115.87	0.00000000	-1.01114511	-1.01114511	0.00000000
116.45	0.00000000	-1.01617569	-1.01617569	0.00000000
117.02	0.00000000	-1.02120626	-1.02120626	0.00000000
117.60	0.00000000	-1.02623683	-1.02623683	0.00000000
118.17	0.00000000	-1.03126740	-1.03126740	0.00000000
118.75	0.00000000	-1.03629798	-1.03629798	0.00000000
119.33	0.00000000	-1.04132855	-1.04132855	0.00000000
119.90	0.00000000	-1.04635912	-1.04635912	0.00000000
120.48	0.00000000	-1.05138970	-1.05138970	0.00000000
121.06	0.00000000	-1.05642027	-1.05642027	0.00000000
121.63	0.00000000	-1.06145084	-1.06145084	0.00000000
122.21	0.00000000	-1.06648141	-1.06648141	0.00000000
122.79	0.00000000	-1.07151199	-1.07151199	0.00000000
123.36	0.00000000	-1.07654256	-1.07654256	0.00000000
123.94	0.00000000	-1.08157313	-1.08157313	0.00000000
124.52	0.00000000	-1.08660370	-1.08660370	0.00000000
125.09	0.00000000	-1.09163428	-1.09163428	0.00000000
125.67	0.00000000	-1.09666485	-1.09666485	0.00000000
126.24	0.00000000	-1.10169542	-1.10169542	0.00000000
