# Accumulated Berry phases using Wilson Loop method
# Theta (rad)	Theta (deg)	State 0	State 1	State 2	State 3
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.006289	0.360360	0.000000	-0.003145	-0.003145	0.000000
0.012579	0.720721	0.000000	-0.006289	-0.006289	0.000000
0.018868	1.081081	0.000000	-0.009434	-0.009434	0.000000
0.025158	1.441441	0.000000	-0.012579	-0.012579	0.000000
0.031447	1.801802	0.000000	-0.015724	-0.015724	0.000000
0.037737	2.162162	0.000000	-0.018868	-0.018868	0.000000
0.044026	2.522523	0.000000	-0.022013	-0.022013	0.000000
0.050316	2.882883	0.000000	-0.025158	-0.025158	0.000000
0.056605	3.243243	0.000000	-0.028303	-0.028303	0.000000
0.062895	3.603604	0.000000	-0.031447	-0.031447	0.000000
0.069184	3.963964	0.000000	-0.034592	-0.034592	0.000000
0.075474	4.324324	0.000000	-0.037737	-0.037737	0.000000
0.081763	4.684685	0.000000	-0.040882	-0.040882	0.000000
0.088053	5.045045	0.000000	-0.044026	-0.044026	0.000000
0.094342	5.405405	0.000000	-0.047171	-0.047171	0.000000
0.100632	5.765766	0.000000	-0.050316	-0.050316	0.000000
0.106921	6.126126	0.000000	-0.053461	-0.053461	0.000000
0.113211	6.486486	0.000000	-0.056605	-0.056605	0.000000
0.119500	6.846847	0.000000	-0.059750	-0.059750	0.000000
0.125789	7.207207	0.000000	-0.062895	-0.062895	0.000000
0.132079	7.567568	0.000000	-0.066039	-0.066039	0.000000
0.138368	7.927928	0.000000	-0.069184	-0.069184	0.000000
0.144658	8.288288	0.000000	-0.072329	-0.072329	0.000000
0.150947	8.648649	0.000000	-0.075474	-0.075474	0.000000
0.157237	9.009009	0.000000	-0.078618	-0.078618	0.000000
0.163526	9.369369	0.000000	-0.081763	-0.081763	0.000000
0.169816	9.729730	0.000000	-0.084908	-0.084908	0.000000
0.176105	10.090090	0.000000	-0.088053	-0.088053	0.000000
0.182395	10.450450	0.000000	-0.091197	-0.091197	0.000000
0.188684	10.810811	0.000000	-0.094342	-0.094342	0.000000
0.194974	11.171171	0.000000	-0.097487	-0.097487	0.000000
0.201263	11.531532	0.000000	-0.100632	-0.100632	0.000000
0.207553	11.891892	0.000000	-0.103776	-0.103776	0.000000
0.213842	12.252252	0.000000	-0.106921	-0.106921	0.000000
0.220132	12.612613	0.000000	-0.110066	-0.110066	0.000000
0.226421	12.972973	0.000000	-0.113211	-0.113211	0.000000
0.232711	13.333333	0.000000	-0.116355	-0.116355	0.000000
0.239000	13.693694	0.000000	-0.119500	-0.119500	0.000000
0.245290	14.054054	0.000000	-0.122645	-0.122645	0.000000
