Berry Phase Accumulation Data
===========================

Final Berry Phases:
State 0: 0.00000000
State 1: -3.14159265
State 2: -3.14159265
State 3: 0.00000000

Accumulated Berry Phases vs Theta:
Theta (degrees)	State 0	State 1	State 2	State 3
0.00	0.00000000	-0.00000000	-0.00000000	0.00000000
0.36	0.00000000	-0.00314474	-0.00314474	0.00000000
0.72	0.00000000	-0.00628947	-0.00628947	0.00000000
1.08	0.00000000	-0.00943421	-0.00943421	0.00000000
1.44	0.00000000	-0.01257895	-0.01257895	0.00000000
1.80	0.00000000	-0.01572369	-0.01572369	0.00000000
2.16	0.00000000	-0.01886842	-0.01886842	0.00000000
2.52	0.00000000	-0.02201316	-0.02201316	0.00000000
2.88	0.00000000	-0.02515790	-0.02515790	0.00000000
3.24	0.00000000	-0.02830264	-0.02830264	0.00000000
3.60	0.00000000	-0.03144737	-0.03144737	0.00000000
3.96	0.00000000	-0.03459211	-0.03459211	0.00000000
4.32	0.00000000	-0.03773685	-0.03773685	0.00000000
4.68	0.00000000	-0.04088159	-0.04088159	0.00000000
5.05	0.00000000	-0.04402632	-0.04402632	0.00000000
5.41	0.00000000	-0.04717106	-0.04717106	0.00000000
5.77	0.00000000	-0.05031580	-0.05031580	0.00000000
6.13	0.00000000	-0.05346054	-0.05346054	0.00000000
6.49	0.00000000	-0.05660527	-0.05660527	0.00000000
6.85	0.00000000	-0.05975001	-0.05975001	0.00000000
7.21	0.00000000	-0.06289475	-0.06289475	0.00000000
7.57	0.00000000	-0.06603949	-0.06603949	0.00000000
7.93	0.00000000	-0.06918422	-0.06918422	0.00000000
8.29	0.00000000	-0.07232896	-0.07232896	0.00000000
8.65	0.00000000	-0.07547370	-0.07547370	0.00000000
9.01	0.00000000	-0.07861843	-0.07861843	0.00000000
9.37	0.00000000	-0.08176317	-0.08176317	0.00000000
9.73	0.00000000	-0.08490791	-0.08490791	0.00000000
10.09	0.00000000	-0.08805265	-0.08805265	0.00000000
10.45	0.00000000	-0.09119738	-0.09119738	0.00000000
10.81	0.00000000	-0.09434212	-0.09434212	0.00000000
11.17	0.00000000	-0.09748686	-0.09748686	0.00000000
11.53	0.00000000	-0.10063160	-0.10063160	0.00000000
11.89	0.00000000	-0.10377633	-0.10377633	0.00000000
12.25	0.00000000	-0.10692107	-0.10692107	0.00000000
12.61	0.00000000	-0.11006581	-0.11006581	0.00000000
12.97	0.00000000	-0.11321055	-0.11321055	0.00000000
13.33	0.00000000	-0.11635528	-0.11635528	0.00000000
13.69	0.00000000	-0.11950002	-0.11950002	0.00000000
14.05	0.00000000	-0.12264476	-0.12264476	0.00000000
14.41	0.00000000	-0.12578950	-0.12578950	0.00000000
14.77	0.00000000	-0.12893423	-0.12893423	0.00000000
15.14	0.00000000	-0.13207897	-0.13207897	0.00000000
15.50	0.00000000	-0.13522371	-0.13522371	0.00000000
15.86	0.00000000	-0.13836845	-0.13836845	0.00000000
16.22	0.00000000	-0.14151318	-0.14151318	0.00000000
16.58	0.00000000	-0.14465792	-0.14465792	0.00000000
16.94	0.00000000	-0.14780266	-0.14780266	0.00000000
17.30	0.00000000	-0.15094739	-0.15094739	0.00000000
17.66	0.00000000	-0.15409213	-0.15409213	0.00000000
18.02	0.00000000	-0.15723687	-0.15723687	0.00000000
18.38	0.00000000	-0.16038161	-0.16038161	0.00000000
18.74	0.00000000	-0.16352634	-0.16352634	0.00000000
19.10	0.00000000	-0.16667108	-0.16667108	0.00000000
19.46	0.00000000	-0.16981582	-0.16981582	0.00000000
19.82	0.00000000	-0.17296056	-0.17296056	0.00000000
20.18	0.00000000	-0.17610529	-0.17610529	0.00000000
20.54	0.00000000	-0.17925003	-0.17925003	0.00000000
20.90	0.00000000	-0.18239477	-0.18239477	0.00000000
21.26	0.00000000	-0.18553951	-0.18553951	0.00000000
21.62	0.00000000	-0.18868424	-0.18868424	0.00000000
21.98	0.00000000	-0.19182898	-0.19182898	0.00000000
22.34	0.00000000	-0.19497372	-0.19497372	0.00000000
22.70	0.00000000	-0.19811846	-0.19811846	0.00000000
23.06	0.00000000	-0.20126319	-0.20126319	0.00000000
23.42	0.00000000	-0.20440793	-0.20440793	0.00000000
23.78	0.00000000	-0.20755267	-0.20755267	0.00000000
24.14	0.00000000	-0.21069741	-0.21069741	0.00000000
24.50	0.00000000	-0.21384214	-0.21384214	0.00000000
24.86	0.00000000	-0.21698688	-0.21698688	0.00000000
25.23	0.00000000	-0.22013162	-0.22013162	0.00000000
25.59	0.00000000	-0.22327635	-0.22327635	0.00000000
25.95	0.00000000	-0.22642109	-0.22642109	0.00000000
26.31	0.00000000	-0.22956583	-0.22956583	0.00000000
26.67	0.00000000	-0.23271057	-0.23271057	0.00000000
27.03	0.00000000	-0.23585530	-0.23585530	0.00000000
27.39	0.00000000	-0.23900004	-0.23900004	0.00000000
27.75	0.00000000	-0.24214478	-0.24214478	0.00000000
28.11	0.00000000	-0.24528952	-0.24528952	0.00000000
28.47	0.00000000	-0.24843425	-0.24843425	0.00000000
28.83	0.00000000	-0.25157899	-0.25157899	0.00000000
29.19	0.00000000	-0.25472373	-0.25472373	0.00000000
29.55	0.00000000	-0.25786847	-0.25786847	0.00000000
29.91	0.00000000	-0.26101320	-0.26101320	0.00000000
30.27	0.00000000	-0.26415794	-0.26415794	0.00000000
30.63	0.00000000	-0.26730268	-0.26730268	0.00000000
30.99	0.00000000	-0.27044742	-0.27044742	0.00000000
31.35	0.00000000	-0.27359215	-0.27359215	0.00000000
31.71	0.00000000	-0.27673689	-0.27673689	0.00000000
32.07	0.00000000	-0.27988163	-0.27988163	0.00000000
32.43	0.00000000	-0.28302637	-0.28302637	0.00000000
32.79	0.00000000	-0.28617110	-0.28617110	0.00000000
33.15	0.00000000	-0.28931584	-0.28931584	0.00000000
33.51	0.00000000	-0.29246058	-0.29246058	0.00000000
33.87	0.00000000	-0.29560531	-0.29560531	0.00000000
34.23	0.00000000	-0.29875005	-0.29875005	0.00000000
34.59	0.00000000	-0.30189479	-0.30189479	0.00000000
34.95	0.00000000	-0.30503953	-0.30503953	0.00000000
35.32	0.00000000	-0.30818426	-0.30818426	0.00000000
35.68	0.00000000	-0.31132900	-0.31132900	0.00000000
