Berry Phase Accumulation Data
===========================

Final Berry Phases:
State 0: 0.00000000
State 1: -3.14159265
State 2: -3.14159265
State 3: 0.00000000

Accumulated Berry Phases vs Theta:
Theta (degrees)	State 0	State 1	State 2	State 3
0.00	0.00000000	-0.00000000	-0.00000000	0.00000000
1.08	0.00000000	-0.00943421	-0.00943421	0.00000000
2.16	0.00000000	-0.01886842	-0.01886842	0.00000000
3.24	0.00000000	-0.02830264	-0.02830264	0.00000000
4.32	0.00000000	-0.03773685	-0.03773685	0.00000000
5.41	0.00000000	-0.04717106	-0.04717106	0.00000000
6.49	0.00000000	-0.05660527	-0.05660527	0.00000000
7.57	0.00000000	-0.06603949	-0.06603949	0.00000000
8.65	0.00000000	-0.07547370	-0.07547370	0.00000000
9.73	0.00000000	-0.08490791	-0.08490791	0.00000000
10.81	0.00000000	-0.09434212	-0.09434212	0.00000000
11.89	0.00000000	-0.10377633	-0.10377633	0.00000000
12.97	0.00000000	-0.11321055	-0.11321055	0.00000000
14.05	0.00000000	-0.12264476	-0.12264476	0.00000000
15.14	0.00000000	-0.13207897	-0.13207897	0.00000000
16.22	0.00000000	-0.14151318	-0.14151318	0.00000000
17.30	0.00000000	-0.15094739	-0.15094739	0.00000000
18.38	0.00000000	-0.16038161	-0.16038161	0.00000000
19.46	0.00000000	-0.16981582	-0.16981582	0.00000000
20.54	0.00000000	-0.17925003	-0.17925003	0.00000000
21.62	0.00000000	-0.18868424	-0.18868424	0.00000000
22.70	0.00000000	-0.19811846	-0.19811846	0.00000000
23.78	0.00000000	-0.20755267	-0.20755267	0.00000000
24.86	0.00000000	-0.21698688	-0.21698688	0.00000000
25.95	0.00000000	-0.22642109	-0.22642109	0.00000000
27.03	0.00000000	-0.23585530	-0.23585530	0.00000000
28.11	0.00000000	-0.24528952	-0.24528952	0.00000000
29.19	0.00000000	-0.25472373	-0.25472373	0.00000000
30.27	0.00000000	-0.26415794	-0.26415794	0.00000000
31.35	0.00000000	-0.27359215	-0.27359215	0.00000000
32.43	0.00000000	-0.28302637	-0.28302637	0.00000000
33.51	0.00000000	-0.29246058	-0.29246058	0.00000000
34.59	0.00000000	-0.30189479	-0.30189479	0.00000000
35.68	0.00000000	-0.31132900	-0.31132900	0.00000000
36.76	0.00000000	-0.32076321	-0.32076321	0.00000000
37.84	0.00000000	-0.33019743	-0.33019743	0.00000000
38.92	0.00000000	-0.33963164	-0.33963164	0.00000000
40.00	0.00000000	-0.34906585	-0.34906585	0.00000000
41.08	0.00000000	-0.35850006	-0.35850006	0.00000000
42.16	0.00000000	-0.36793427	-0.36793427	0.00000000
43.24	0.00000000	-0.37736849	-0.37736849	0.00000000
44.32	0.00000000	-0.38680270	-0.38680270	0.00000000
45.41	0.00000000	-0.39623691	-0.39623691	0.00000000
46.49	0.00000000	-0.40567112	-0.40567112	0.00000000
47.57	0.00000000	-0.41510534	-0.41510534	0.00000000
48.65	0.00000000	-0.42453955	-0.42453955	0.00000000
49.73	0.00000000	-0.43397376	-0.43397376	0.00000000
50.81	0.00000000	-0.44340797	-0.44340797	0.00000000
51.89	0.00000000	-0.45284218	-0.45284218	0.00000000
52.97	0.00000000	-0.46227640	-0.46227640	0.00000000
54.05	0.00000000	-0.47171061	-0.47171061	0.00000000
55.14	0.00000000	-0.48114482	-0.48114482	0.00000000
56.22	0.00000000	-0.49057903	-0.49057903	0.00000000
57.30	0.00000000	-0.50001325	-0.50001325	0.00000000
58.38	0.00000000	-0.50944746	-0.50944746	0.00000000
59.46	0.00000000	-0.51888167	-0.51888167	0.00000000
60.54	0.00000000	-0.52831588	-0.52831588	0.00000000
61.62	0.00000000	-0.53775009	-0.53775009	0.00000000
62.70	0.00000000	-0.54718431	-0.54718431	0.00000000
63.78	0.00000000	-0.55661852	-0.55661852	0.00000000
64.86	0.00000000	-0.56605273	-0.56605273	0.00000000
65.95	0.00000000	-0.57548694	-0.57548694	0.00000000
67.03	0.00000000	-0.58492115	-0.58492115	0.00000000
68.11	0.00000000	-0.59435537	-0.59435537	0.00000000
69.19	0.00000000	-0.60378958	-0.60378958	0.00000000
70.27	0.00000000	-0.61322379	-0.61322379	0.00000000
71.35	0.00000000	-0.62265800	-0.62265800	0.00000000
72.43	0.00000000	-0.63209222	-0.63209222	0.00000000
73.51	0.00000000	-0.64152643	-0.64152643	0.00000000
74.59	0.00000000	-0.65096064	-0.65096064	0.00000000
75.68	0.00000000	-0.66039485	-0.66039485	0.00000000
76.76	0.00000000	-0.66982906	-0.66982906	0.00000000
77.84	0.00000000	-0.67926328	-0.67926328	0.00000000
78.92	0.00000000	-0.68869749	-0.68869749	0.00000000
80.00	0.00000000	-0.69813170	-0.69813170	0.00000000
81.08	0.00000000	-0.70756591	-0.70756591	0.00000000
82.16	0.00000000	-0.71700013	-0.71700013	0.00000000
83.24	0.00000000	-0.72643434	-0.72643434	0.00000000
84.32	0.00000000	-0.73586855	-0.73586855	0.00000000
85.41	0.00000000	-0.74530276	-0.74530276	0.00000000
86.49	0.00000000	-0.75473697	-0.75473697	0.00000000
87.57	0.00000000	-0.76417119	-0.76417119	0.00000000
88.65	0.00000000	-0.77360540	-0.77360540	0.00000000
89.73	0.00000000	-0.78303961	-0.78303961	0.00000000
90.81	0.00000000	-0.79247382	-0.79247382	0.00000000
91.89	0.00000000	-0.80190803	-0.80190803	0.00000000
92.97	0.00000000	-0.81134225	-0.81134225	0.00000000
94.05	0.00000000	-0.82077646	-0.82077646	0.00000000
95.14	0.00000000	-0.83021067	-0.83021067	0.00000000
96.22	0.00000000	-0.83964488	-0.83964488	0.00000000
97.30	0.00000000	-0.84907910	-0.84907910	0.00000000
98.38	0.00000000	-0.85851331	-0.85851331	0.00000000
99.46	0.00000000	-0.86794752	-0.86794752	0.00000000
100.54	0.00000000	-0.87738173	-0.87738173	0.00000000
101.62	0.00000000	-0.88681594	-0.88681594	0.00000000
102.70	0.00000000	-0.89625016	-0.89625016	0.00000000
103.78	0.00000000	-0.90568437	-0.90568437	0.00000000
104.86	0.00000000	-0.91511858	-0.91511858	0.00000000
105.95	0.00000000	-0.92455279	-0.92455279	0.00000000
107.03	0.00000000	-0.93398701	-0.93398701	0.00000000
108.11	0.00000000	-0.94342122	-0.94342122	0.00000000
109.19	0.00000000	-0.95285543	-0.95285543	0.00000000
110.27	0.00000000	-0.96228964	-0.96228964	0.00000000
111.35	0.00000000	-0.97172385	-0.97172385	0.00000000
112.43	0.00000000	-0.98115807	-0.98115807	0.00000000
113.51	0.00000000	-0.99059228	-0.99059228	0.00000000
114.59	0.00000000	-1.00002649	-1.00002649	0.00000000
115.68	0.00000000	-1.00946070	-1.00946070	0.00000000
116.76	0.00000000	-1.01889491	-1.01889491	0.00000000
117.84	0.00000000	-1.02832913	-1.02832913	0.00000000
118.92	0.00000000	-1.03776334	-1.03776334	0.00000000
120.00	0.00000000	-1.04719755	-1.04719755	0.00000000
121.08	0.00000000	-1.05663176	-1.05663176	0.00000000
122.16	0.00000000	-1.06606598	-1.06606598	0.00000000
123.24	0.00000000	-1.07550019	-1.07550019	0.00000000
124.32	0.00000000	-1.08493440	-1.08493440	0.00000000
125.41	0.00000000	-1.09436861	-1.09436861	0.00000000
126.49	0.00000000	-1.10380282	-1.10380282	0.00000000
127.57	0.00000000	-1.11323704	-1.11323704	0.00000000
128.65	0.00000000	-1.12267125	-1.12267125	0.00000000
129.73	0.00000000	-1.13210546	-1.13210546	0.00000000
130.81	0.00000000	-1.14153967	-1.14153967	0.00000000
131.89	0.00000000	-1.15097389	-1.15097389	0.00000000
132.97	0.00000000	-1.16040810	-1.16040810	0.00000000
134.05	0.00000000	-1.16984231	-1.16984231	0.00000000
135.14	0.00000000	-1.17927652	-1.17927652	0.00000000
136.22	0.00000000	-1.18871073	-1.18871073	0.00000000
137.30	0.00000000	-1.19814495	-1.19814495	0.00000000
138.38	0.00000000	-1.20757916	-1.20757916	0.00000000
139.46	0.00000000	-1.21701337	-1.21701337	0.00000000
140.54	0.00000000	-1.22644758	-1.22644758	0.00000000
