Berry Phase Accumulation Data
===========================

Final Berry Phases:
State 0: 0.00000000
State 1: -3.14159265
State 2: 0.00000000
State 3: 0.00000000

Accumulated Berry Phases vs Theta:
Theta (degrees)	State 0	State 1	State 2	State 3
0.00	0.00000000	-0.00000000	0.00000000	0.00000000
0.02	0.00000000	-0.00031419	0.00000000	0.00000000
0.04	0.00000000	-0.00062838	0.00000000	0.00000000
0.05	0.00000000	-0.00094257	0.00000000	0.00000000
0.07	0.00000000	-0.00125676	0.00000000	0.00000000
0.09	0.00000000	-0.00157095	0.00000000	0.00000000
0.11	0.00000000	-0.00188514	0.00000000	0.00000000
0.13	0.00000000	-0.00219933	0.00000000	0.00000000
0.14	0.00000000	-0.00251353	0.00000000	0.00000000
0.16	0.00000000	-0.00282772	0.00000000	0.00000000
0.18	0.00000000	-0.00314191	0.00000000	0.00000000
0.20	0.00000000	-0.00345610	0.00000000	0.00000000
0.22	0.00000000	-0.00377029	0.00000000	0.00000000
0.23	0.00000000	-0.00408448	0.00000000	0.00000000
0.25	0.00000000	-0.00439867	0.00000000	0.00000000
0.27	0.00000000	-0.00471286	0.00000000	0.00000000
0.29	0.00000000	-0.00502705	0.00000000	0.00000000
0.31	0.00000000	-0.00534124	0.00000000	0.00000000
0.32	0.00000000	-0.00565543	0.00000000	0.00000000
0.34	0.00000000	-0.00596962	0.00000000	0.00000000
0.36	0.00000000	-0.00628381	0.00000000	0.00000000
0.38	0.00000000	-0.00659800	0.00000000	0.00000000
0.40	0.00000000	-0.00691220	0.00000000	0.00000000
0.41	0.00000000	-0.00722639	0.00000000	0.00000000
0.43	0.00000000	-0.00754058	0.00000000	0.00000000
0.45	0.00000000	-0.00785477	0.00000000	0.00000000
0.47	0.00000000	-0.00816896	0.00000000	0.00000000
0.49	0.00000000	-0.00848315	0.00000000	0.00000000
0.50	0.00000000	-0.00879734	0.00000000	0.00000000
0.52	0.00000000	-0.00911153	0.00000000	0.00000000
0.54	0.00000000	-0.00942572	0.00000000	0.00000000
0.56	0.00000000	-0.00973991	0.00000000	0.00000000
0.58	0.00000000	-0.01005410	0.00000000	0.00000000
0.59	0.00000000	-0.01036829	0.00000000	0.00000000
0.61	0.00000000	-0.01068248	0.00000000	0.00000000
0.63	0.00000000	-0.01099667	0.00000000	0.00000000
0.65	0.00000000	-0.01131086	0.00000000	0.00000000
0.67	0.00000000	-0.01162506	0.00000000	0.00000000
0.68	0.00000000	-0.01193925	0.00000000	0.00000000
0.70	0.00000000	-0.01225344	0.00000000	0.00000000
0.72	0.00000000	-0.01256763	0.00000000	0.00000000
0.74	0.00000000	-0.01288182	0.00000000	0.00000000
0.76	0.00000000	-0.01319601	0.00000000	0.00000000
0.77	0.00000000	-0.01351020	0.00000000	0.00000000
0.79	0.00000000	-0.01382439	0.00000000	0.00000000
0.81	0.00000000	-0.01413858	0.00000000	0.00000000
0.83	0.00000000	-0.01445277	0.00000000	0.00000000
0.85	0.00000000	-0.01476696	0.00000000	0.00000000
0.86	0.00000000	-0.01508115	0.00000000	0.00000000
0.88	0.00000000	-0.01539534	0.00000000	0.00000000
0.90	0.00000000	-0.01570953	0.00000000	0.00000000
0.92	0.00000000	-0.01602372	0.00000000	0.00000000
0.94	0.00000000	-0.01633792	0.00000000	0.00000000
0.95	0.00000000	-0.01665211	0.00000000	0.00000000
0.97	0.00000000	-0.01696630	0.00000000	0.00000000
0.99	0.00000000	-0.01728049	0.00000000	0.00000000
1.01	0.00000000	-0.01759468	0.00000000	0.00000000
1.03	0.00000000	-0.01790887	0.00000000	0.00000000
1.04	0.00000000	-0.01822306	0.00000000	0.00000000
1.06	0.00000000	-0.01853725	0.00000000	0.00000000
1.08	0.00000000	-0.01885144	0.00000000	0.00000000
1.10	0.00000000	-0.01916563	0.00000000	0.00000000
1.12	0.00000000	-0.01947982	0.00000000	0.00000000
1.13	0.00000000	-0.01979401	0.00000000	0.00000000
1.15	0.00000000	-0.02010820	0.00000000	0.00000000
1.17	0.00000000	-0.02042239	0.00000000	0.00000000
1.19	0.00000000	-0.02073659	0.00000000	0.00000000
1.21	0.00000000	-0.02105078	0.00000000	0.00000000
1.22	0.00000000	-0.02136497	0.00000000	0.00000000
1.24	0.00000000	-0.02167916	0.00000000	0.00000000
1.26	0.00000000	-0.02199335	0.00000000	0.00000000
1.28	0.00000000	-0.02230754	0.00000000	0.00000000
1.30	0.00000000	-0.02262173	0.00000000	0.00000000
1.31	0.00000000	-0.02293592	0.00000000	0.00000000
1.33	0.00000000	-0.02325011	0.00000000	0.00000000
1.35	0.00000000	-0.02356430	0.00000000	0.00000000
1.37	0.00000000	-0.02387849	0.00000000	0.00000000
1.39	0.00000000	-0.02419268	0.00000000	0.00000000
1.40	0.00000000	-0.02450687	0.00000000	0.00000000
1.42	0.00000000	-0.02482106	0.00000000	0.00000000
1.44	0.00000000	-0.02513525	0.00000000	0.00000000
1.46	0.00000000	-0.02544945	0.00000000	0.00000000
1.48	0.00000000	-0.02576364	0.00000000	0.00000000
1.49	0.00000000	-0.02607783	0.00000000	0.00000000
1.51	0.00000000	-0.02639202	0.00000000	0.00000000
1.53	0.00000000	-0.02670621	0.00000000	0.00000000
1.55	0.00000000	-0.02702040	0.00000000	0.00000000
1.57	0.00000000	-0.02733459	0.00000000	0.00000000
1.58	0.00000000	-0.02764878	0.00000000	0.00000000
1.60	0.00000000	-0.02796297	0.00000000	0.00000000
1.62	0.00000000	-0.02827716	0.00000000	0.00000000
1.64	0.00000000	-0.02859135	0.00000000	0.00000000
1.66	0.00000000	-0.02890554	0.00000000	0.00000000
1.67	0.00000000	-0.02921973	0.00000000	0.00000000
1.69	0.00000000	-0.02953392	0.00000000	0.00000000
1.71	0.00000000	-0.02984812	0.00000000	0.00000000
1.73	0.00000000	-0.03016231	0.00000000	0.00000000
1.75	0.00000000	-0.03047650	0.00000000	0.00000000
1.76	0.00000000	-0.03079069	0.00000000	0.00000000
1.78	0.00000000	-0.03110488	0.00000000	0.00000000
1.80	0.00000000	-0.03141907	0.00000000	0.00000000
1.82	0.00000000	-0.03173326	0.00000000	0.00000000
1.84	0.00000000	-0.03204745	0.00000000	0.00000000
1.85	0.00000000	-0.03236164	0.00000000	0.00000000
1.87	0.00000000	-0.03267583	0.00000000	0.00000000
1.89	0.00000000	-0.03299002	0.00000000	0.00000000
1.91	0.00000000	-0.03330421	0.00000000	0.00000000
1.93	0.00000000	-0.03361840	0.00000000	0.00000000
1.94	0.00000000	-0.03393259	0.00000000	0.00000000
1.96	0.00000000	-0.03424678	0.00000000	0.00000000
1.98	0.00000000	-0.03456098	0.00000000	0.00000000
2.00	0.00000000	-0.03487517	0.00000000	0.00000000
2.02	0.00000000	-0.03518936	0.00000000	0.00000000
2.03	0.00000000	-0.03550355	0.00000000	0.00000000
2.05	0.00000000	-0.03581774	0.00000000	0.00000000
2.07	0.00000000	-0.03613193	0.00000000	0.00000000
2.09	0.00000000	-0.03644612	0.00000000	0.00000000
2.11	0.00000000	-0.03676031	0.00000000	0.00000000
2.12	0.00000000	-0.03707450	0.00000000	0.00000000
2.14	0.00000000	-0.03738869	0.00000000	0.00000000
2.16	0.00000000	-0.03770288	0.00000000	0.00000000
2.18	0.00000000	-0.03801707	0.00000000	0.00000000
2.20	0.00000000	-0.03833126	0.00000000	0.00000000
2.21	0.00000000	-0.03864545	0.00000000	0.00000000
2.23	0.00000000	-0.03895964	0.00000000	0.00000000
2.25	0.00000000	-0.03927384	0.00000000	0.00000000
2.27	0.00000000	-0.03958803	0.00000000	0.00000000
2.29	0.00000000	-0.03990222	0.00000000	0.00000000
2.30	0.00000000	-0.04021641	0.00000000	0.00000000
2.32	0.00000000	-0.04053060	0.00000000	0.00000000
2.34	0.00000000	-0.04084479	0.00000000	0.00000000
2.36	0.00000000	-0.04115898	0.00000000	0.00000000
2.38	0.00000000	-0.04147317	0.00000000	0.00000000
2.39	0.00000000	-0.04178736	0.00000000	0.00000000
2.41	0.00000000	-0.04210155	0.00000000	0.00000000
2.43	0.00000000	-0.04241574	0.00000000	0.00000000
2.45	0.00000000	-0.04272993	0.00000000	0.00000000
2.47	0.00000000	-0.04304412	0.00000000	0.00000000
2.48	0.00000000	-0.04335831	0.00000000	0.00000000
2.50	0.00000000	-0.04367251	0.00000000	0.00000000
2.52	0.00000000	-0.04398670	0.00000000	0.00000000
2.54	0.00000000	-0.04430089	0.00000000	0.00000000
2.56	0.00000000	-0.04461508	0.00000000	0.00000000
2.57	0.00000000	-0.04492927	0.00000000	0.00000000
2.59	0.00000000	-0.04524346	0.00000000	0.00000000
2.61	0.00000000	-0.04555765	0.00000000	0.00000000
2.63	0.00000000	-0.04587184	0.00000000	0.00000000
2.65	0.00000000	-0.04618603	0.00000000	0.00000000
2.66	0.00000000	-0.04650022	0.00000000	0.00000000
2.68	0.00000000	-0.04681441	0.00000000	0.00000000
2.70	0.00000000	-0.04712860	0.00000000	0.00000000
2.72	0.00000000	-0.04744279	0.00000000	0.00000000
2.74	0.00000000	-0.04775698	0.00000000	0.00000000
2.75	0.00000000	-0.04807117	0.00000000	0.00000000
2.77	0.00000000	-0.04838537	0.00000000	0.00000000
2.79	0.00000000	-0.04869956	0.00000000	0.00000000
2.81	0.00000000	-0.04901375	0.00000000	0.00000000
2.83	0.00000000	-0.04932794	0.00000000	0.00000000
2.84	0.00000000	-0.04964213	0.00000000	0.00000000
2.86	0.00000000	-0.04995632	0.00000000	0.00000000
2.88	0.00000000	-0.05027051	0.00000000	0.00000000
2.90	0.00000000	-0.05058470	0.00000000	0.00000000
2.92	0.00000000	-0.05089889	0.00000000	0.00000000
2.93	0.00000000	-0.05121308	0.00000000	0.00000000
2.95	0.00000000	-0.05152727	0.00000000	0.00000000
2.97	0.00000000	-0.05184146	0.00000000	0.00000000
2.99	0.00000000	-0.05215565	0.00000000	0.00000000
3.01	0.00000000	-0.05246984	0.00000000	0.00000000
3.02	0.00000000	-0.05278403	0.00000000	0.00000000
3.04	0.00000000	-0.05309823	0.00000000	0.00000000
3.06	0.00000000	-0.05341242	0.00000000	0.00000000
3.08	0.00000000	-0.05372661	0.00000000	0.00000000
3.10	0.00000000	-0.05404080	0.00000000	0.00000000
3.11	0.00000000	-0.05435499	0.00000000	0.00000000
3.13	0.00000000	-0.05466918	0.00000000	0.00000000
3.15	0.00000000	-0.05498337	0.00000000	0.00000000
3.17	0.00000000	-0.05529756	0.00000000	0.00000000
3.19	0.00000000	-0.05561175	0.00000000	0.00000000
3.20	0.00000000	-0.05592594	0.00000000	0.00000000
3.22	0.00000000	-0.05624013	0.00000000	0.00000000
3.24	0.00000000	-0.05655432	0.00000000	0.00000000
3.26	0.00000000	-0.05686851	0.00000000	0.00000000
3.28	0.00000000	-0.05718270	0.00000000	0.00000000
3.29	0.00000000	-0.05749690	0.00000000	0.00000000
3.31	0.00000000	-0.05781109	0.00000000	0.00000000
3.33	0.00000000	-0.05812528	0.00000000	0.00000000
3.35	0.00000000	-0.05843947	0.00000000	0.00000000
3.37	0.00000000	-0.05875366	0.00000000	0.00000000
3.38	0.00000000	-0.05906785	0.00000000	0.00000000
3.40	0.00000000	-0.05938204	0.00000000	0.00000000
3.42	0.00000000	-0.05969623	0.00000000	0.00000000
3.44	0.00000000	-0.06001042	0.00000000	0.00000000
3.46	0.00000000	-0.06032461	0.00000000	0.00000000
3.47	0.00000000	-0.06063880	0.00000000	0.00000000
3.49	0.00000000	-0.06095299	0.00000000	0.00000000
3.51	0.00000000	-0.06126718	0.00000000	0.00000000
3.53	0.00000000	-0.06158137	0.00000000	0.00000000
3.55	0.00000000	-0.06189556	0.00000000	0.00000000
3.56	0.00000000	-0.06220976	0.00000000	0.00000000
3.58	0.00000000	-0.06252395	0.00000000	0.00000000
3.60	0.00000000	-0.06283814	0.00000000	0.00000000
3.62	0.00000000	-0.06315233	0.00000000	0.00000000
3.64	0.00000000	-0.06346652	0.00000000	0.00000000
3.65	0.00000000	-0.06378071	0.00000000	0.00000000
3.67	0.00000000	-0.06409490	0.00000000	0.00000000
3.69	0.00000000	-0.06440909	0.00000000	0.00000000
3.71	0.00000000	-0.06472328	0.00000000	0.00000000
3.73	0.00000000	-0.06503747	0.00000000	0.00000000
3.74	0.00000000	-0.06535166	0.00000000	0.00000000
3.76	0.00000000	-0.06566585	0.00000000	0.00000000
3.78	0.00000000	-0.06598004	0.00000000	0.00000000
3.80	0.00000000	-0.06629423	0.00000000	0.00000000
3.82	0.00000000	-0.06660843	0.00000000	0.00000000
3.83	0.00000000	-0.06692262	0.00000000	0.00000000
3.85	0.00000000	-0.06723681	0.00000000	0.00000000
3.87	0.00000000	-0.06755100	0.00000000	0.00000000
3.89	0.00000000	-0.06786519	0.00000000	0.00000000
3.91	0.00000000	-0.06817938	0.00000000	0.00000000
3.92	0.00000000	-0.06849357	0.00000000	0.00000000
3.94	0.00000000	-0.06880776	0.00000000	0.00000000
3.96	0.00000000	-0.06912195	0.00000000	0.00000000
3.98	0.00000000	-0.06943614	0.00000000	0.00000000
4.00	0.00000000	-0.06975033	0.00000000	0.00000000
4.01	0.00000000	-0.07006452	0.00000000	0.00000000
4.03	0.00000000	-0.07037871	0.00000000	0.00000000
4.05	0.00000000	-0.07069290	0.00000000	0.00000000
4.07	0.00000000	-0.07100709	0.00000000	0.00000000
4.09	0.00000000	-0.07132129	0.00000000	0.00000000
4.10	0.00000000	-0.07163548	0.00000000	0.00000000
4.12	0.00000000	-0.07194967	0.00000000	0.00000000
4.14	0.00000000	-0.07226386	0.00000000	0.00000000
4.16	0.00000000	-0.07257805	0.00000000	0.00000000
4.18	0.00000000	-0.07289224	0.00000000	0.00000000
4.19	0.00000000	-0.07320643	0.00000000	0.00000000
4.21	0.00000000	-0.07352062	0.00000000	0.00000000
4.23	0.00000000	-0.07383481	0.00000000	0.00000000
4.25	0.00000000	-0.07414900	0.00000000	0.00000000
4.27	0.00000000	-0.07446319	0.00000000	0.00000000
4.28	0.00000000	-0.07477738	0.00000000	0.00000000
4.30	0.00000000	-0.07509157	0.00000000	0.00000000
4.32	0.00000000	-0.07540576	0.00000000	0.00000000
4.34	0.00000000	-0.07571995	0.00000000	0.00000000
4.36	0.00000000	-0.07603415	0.00000000	0.00000000
4.37	0.00000000	-0.07634834	0.00000000	0.00000000
4.39	0.00000000	-0.07666253	0.00000000	0.00000000
4.41	0.00000000	-0.07697672	0.00000000	0.00000000
4.43	0.00000000	-0.07729091	0.00000000	0.00000000
4.45	0.00000000	-0.07760510	0.00000000	0.00000000
4.46	0.00000000	-0.07791929	0.00000000	0.00000000
4.48	0.00000000	-0.07823348	0.00000000	0.00000000
4.50	0.00000000	-0.07854767	0.00000000	0.00000000
4.52	0.00000000	-0.07886186	0.00000000	0.00000000
4.54	0.00000000	-0.07917605	0.00000000	0.00000000
4.55	0.00000000	-0.07949024	0.00000000	0.00000000
4.57	0.00000000	-0.07980443	0.00000000	0.00000000
4.59	0.00000000	-0.08011862	0.00000000	0.00000000
4.61	0.00000000	-0.08043282	0.00000000	0.00000000
4.63	0.00000000	-0.08074701	0.00000000	0.00000000
4.64	0.00000000	-0.08106120	0.00000000	0.00000000
4.66	0.00000000	-0.08137539	0.00000000	0.00000000
4.68	0.00000000	-0.08168958	0.00000000	0.00000000
4.70	0.00000000	-0.08200377	0.00000000	0.00000000
4.72	0.00000000	-0.08231796	0.00000000	0.00000000
