Berry Phase Accumulation Data
===========================

Final Berry Phases:
State 0: 0.00000000
State 1: 0.00000000
State 2: 0.00000000
State 3: 0.00000000

Accumulated Berry Phases vs Theta:
Theta (degrees)	State 0	State 1	State 2	State 3
0.00	0.00000000	-0.00000000	-0.00000000	0.00000000
0.72	0.00000000	-0.00628947	-0.00628947	0.00000000
1.44	0.00000000	-0.01257895	-0.01257895	0.00000000
2.16	0.00000000	-0.01886842	-0.01886842	0.00000000
2.88	0.00000000	-0.02515790	-0.02515790	0.00000000
3.60	0.00000000	-0.03144737	-0.03144737	0.00000000
4.32	0.00000000	-0.03773685	-0.03773685	0.00000000
5.05	0.00000000	-0.04402632	-0.04402632	0.00000000
5.77	0.00000000	-0.05031580	-0.05031580	0.00000000
6.49	0.00000000	-0.05660527	-0.05660527	0.00000000
7.21	0.00000000	-0.06289475	-0.06289475	0.00000000
7.93	0.00000000	-0.06918422	-0.06918422	0.00000000
8.65	0.00000000	-0.07547370	-0.07547370	0.00000000
9.37	0.00000000	-0.08176317	-0.08176317	0.00000000
10.09	0.00000000	-0.08805265	-0.08805265	0.00000000
10.81	0.00000000	-0.09434212	-0.09434212	0.00000000
11.53	0.00000000	-0.10063160	-0.10063160	0.00000000
12.25	0.00000000	-0.10692107	-0.10692107	0.00000000
12.97	0.00000000	-0.11321055	-0.11321055	0.00000000
13.69	0.00000000	-0.11950002	-0.11950002	0.00000000
14.41	0.00000000	-0.12578950	-0.12578950	0.00000000
15.14	0.00000000	-0.13207897	-0.13207897	0.00000000
15.86	0.00000000	-0.13836845	-0.13836845	0.00000000
16.58	0.00000000	-0.14465792	-0.14465792	0.00000000
17.30	0.00000000	-0.15094739	-0.15094739	0.00000000
18.02	0.00000000	-0.15723687	-0.15723687	0.00000000
18.74	0.00000000	-0.16352634	-0.16352634	0.00000000
19.46	0.00000000	-0.16981582	-0.16981582	0.00000000
20.18	0.00000000	-0.17610529	-0.17610529	0.00000000
20.90	0.00000000	-0.18239477	-0.18239477	0.00000000
21.62	0.00000000	-0.18868424	-0.18868424	0.00000000
22.34	0.00000000	-0.19497372	-0.19497372	0.00000000
23.06	0.00000000	-0.20126319	-0.20126319	0.00000000
23.78	0.00000000	-0.20755267	-0.20755267	0.00000000
24.50	0.00000000	-0.21384214	-0.21384214	0.00000000
25.23	0.00000000	-0.22013162	-0.22013162	0.00000000
25.95	0.00000000	-0.22642109	-0.22642109	0.00000000
26.67	0.00000000	-0.23271057	-0.23271057	0.00000000
27.39	0.00000000	-0.23900004	-0.23900004	0.00000000
