Berry Phase Accumulation Data
===========================

Final Berry Phases:
State 0: 0.00000000
State 1: 0.00000000
State 2: 0.00000000
State 3: 0.00000000

Accumulated Berry Phases vs Theta:
Theta (degrees)	State 0	State 1	State 2	State 3
0.00	0.00000000	-0.00000000	-0.00000000	0.00000000
0.36	0.00000000	-0.00314238	-0.00314238	0.00000000
0.72	0.00000000	-0.00628476	-0.00628476	0.00000000
1.08	0.00000000	-0.00942713	-0.00942713	0.00000000
1.44	0.00000000	-0.01256951	-0.01256951	0.00000000
1.80	0.00000000	-0.01571189	-0.01571189	0.00000000
2.16	0.00000000	-0.01885427	-0.01885427	0.00000000
2.52	0.00000000	-0.02199665	-0.02199665	0.00000000
2.88	0.00000000	-0.02513903	-0.02513903	0.00000000
3.24	0.00000000	-0.02828140	-0.02828140	0.00000000
3.60	0.00000000	-0.03142378	-0.03142378	0.00000000
3.96	0.00000000	-0.03456616	-0.03456616	0.00000000
4.32	0.00000000	-0.03770854	-0.03770854	0.00000000
4.68	0.00000000	-0.04085092	-0.04085092	0.00000000
5.04	0.00000000	-0.04399330	-0.04399330	0.00000000
5.40	0.00000000	-0.04713567	-0.04713567	0.00000000
5.76	0.00000000	-0.05027805	-0.05027805	0.00000000
6.12	0.00000000	-0.05342043	-0.05342043	0.00000000
6.48	0.00000000	-0.05656281	-0.05656281	0.00000000
6.84	0.00000000	-0.05970519	-0.05970519	0.00000000
7.20	0.00000000	-0.06284756	-0.06284756	0.00000000
7.56	0.00000000	-0.06598994	-0.06598994	0.00000000
7.92	0.00000000	-0.06913232	-0.06913232	0.00000000
8.28	0.00000000	-0.07227470	-0.07227470	0.00000000
8.64	0.00000000	-0.07541708	-0.07541708	0.00000000
9.00	0.00000000	-0.07855946	-0.07855946	0.00000000
9.36	0.00000000	-0.08170183	-0.08170183	0.00000000
9.72	0.00000000	-0.08484421	-0.08484421	0.00000000
10.08	0.00000000	-0.08798659	-0.08798659	0.00000000
10.44	0.00000000	-0.09112897	-0.09112897	0.00000000
10.80	0.00000000	-0.09427135	-0.09427135	0.00000000
11.16	0.00000000	-0.09741373	-0.09741373	0.00000000
11.52	0.00000000	-0.10055610	-0.10055610	0.00000000
11.88	0.00000000	-0.10369848	-0.10369848	0.00000000
12.24	0.00000000	-0.10684086	-0.10684086	0.00000000
12.60	0.00000000	-0.10998324	-0.10998324	0.00000000
12.96	0.00000000	-0.11312562	-0.11312562	0.00000000
13.32	0.00000000	-0.11626800	-0.11626800	0.00000000
13.68	0.00000000	-0.11941037	-0.11941037	0.00000000
14.04	0.00000000	-0.12255275	-0.12255275	0.00000000
14.40	0.00000000	-0.12569513	-0.12569513	0.00000000
14.76	0.00000000	-0.12883751	-0.12883751	0.00000000
15.12	0.00000000	-0.13197989	-0.13197989	0.00000000
15.48	0.00000000	-0.13512226	-0.13512226	0.00000000
15.84	0.00000000	-0.13826464	-0.13826464	0.00000000
16.20	0.00000000	-0.14140702	-0.14140702	0.00000000
16.56	0.00000000	-0.14454940	-0.14454940	0.00000000
16.92	0.00000000	-0.14769178	-0.14769178	0.00000000
17.28	0.00000000	-0.15083416	-0.15083416	0.00000000
17.64	0.00000000	-0.15397653	-0.15397653	0.00000000
18.00	0.00000000	-0.15711891	-0.15711891	0.00000000
18.36	0.00000000	-0.16026129	-0.16026129	0.00000000
18.72	0.00000000	-0.16340367	-0.16340367	0.00000000
19.08	0.00000000	-0.16654605	-0.16654605	0.00000000
19.44	0.00000000	-0.16968843	-0.16968843	0.00000000
19.80	0.00000000	-0.17283080	-0.17283080	0.00000000
20.17	0.00000000	-0.17597318	-0.17597318	0.00000000
20.53	0.00000000	-0.17911556	-0.17911556	0.00000000
20.89	0.00000000	-0.18225794	-0.18225794	0.00000000
21.25	0.00000000	-0.18540032	-0.18540032	0.00000000
21.61	0.00000000	-0.18854269	-0.18854269	0.00000000
21.97	0.00000000	-0.19168507	-0.19168507	0.00000000
22.33	0.00000000	-0.19482745	-0.19482745	0.00000000
22.69	0.00000000	-0.19796983	-0.19796983	0.00000000
23.05	0.00000000	-0.20111221	-0.20111221	0.00000000
23.41	0.00000000	-0.20425459	-0.20425459	0.00000000
23.77	0.00000000	-0.20739696	-0.20739696	0.00000000
24.13	0.00000000	-0.21053934	-0.21053934	0.00000000
24.49	0.00000000	-0.21368172	-0.21368172	0.00000000
24.85	0.00000000	-0.21682410	-0.21682410	0.00000000
25.21	0.00000000	-0.21996648	-0.21996648	0.00000000
25.57	0.00000000	-0.22310886	-0.22310886	0.00000000
25.93	0.00000000	-0.22625123	-0.22625123	0.00000000
26.29	0.00000000	-0.22939361	-0.22939361	0.00000000
26.65	0.00000000	-0.23253599	-0.23253599	0.00000000
27.01	0.00000000	-0.23567837	-0.23567837	0.00000000
27.37	0.00000000	-0.23882075	-0.23882075	0.00000000
27.73	0.00000000	-0.24196313	-0.24196313	0.00000000
28.09	0.00000000	-0.24510550	-0.24510550	0.00000000
28.45	0.00000000	-0.24824788	-0.24824788	0.00000000
28.81	0.00000000	-0.25139026	-0.25139026	0.00000000
29.17	0.00000000	-0.25453264	-0.25453264	0.00000000
29.53	0.00000000	-0.25767502	-0.25767502	0.00000000
29.89	0.00000000	-0.26081739	-0.26081739	0.00000000
30.25	0.00000000	-0.26395977	-0.26395977	0.00000000
30.61	0.00000000	-0.26710215	-0.26710215	0.00000000
30.97	0.00000000	-0.27024453	-0.27024453	0.00000000
31.33	0.00000000	-0.27338691	-0.27338691	0.00000000
31.69	0.00000000	-0.27652929	-0.27652929	0.00000000
32.05	0.00000000	-0.27967166	-0.27967166	0.00000000
32.41	0.00000000	-0.28281404	-0.28281404	0.00000000
32.77	0.00000000	-0.28595642	-0.28595642	0.00000000
33.13	0.00000000	-0.28909880	-0.28909880	0.00000000
33.49	0.00000000	-0.29224118	-0.29224118	0.00000000
33.85	0.00000000	-0.29538356	-0.29538356	0.00000000
34.21	0.00000000	-0.29852593	-0.29852593	0.00000000
34.57	0.00000000	-0.30166831	-0.30166831	0.00000000
34.93	0.00000000	-0.30481069	-0.30481069	0.00000000
35.29	0.00000000	-0.30795307	-0.30795307	0.00000000
35.65	0.00000000	-0.31109545	-0.31109545	0.00000000
36.01	0.00000000	-0.31423782	-0.31423782	0.00000000
36.37	0.00000000	-0.31738020	-0.31738020	0.00000000
36.73	0.00000000	-0.32052258	-0.32052258	0.00000000
37.09	0.00000000	-0.32366496	-0.32366496	0.00000000
37.45	0.00000000	-0.32680734	-0.32680734	0.00000000
37.81	0.00000000	-0.32994972	-0.32994972	0.00000000
38.17	0.00000000	-0.33309209	-0.33309209	0.00000000
38.53	0.00000000	-0.33623447	-0.33623447	0.00000000
38.89	0.00000000	-0.33937685	-0.33937685	0.00000000
39.25	0.00000000	-0.34251923	-0.34251923	0.00000000
39.61	0.00000000	-0.34566161	-0.34566161	0.00000000
39.97	0.00000000	-0.34880399	-0.34880399	0.00000000
40.33	0.00000000	-0.35194636	-0.35194636	0.00000000
40.69	0.00000000	-0.35508874	-0.35508874	0.00000000
41.05	0.00000000	-0.35823112	-0.35823112	0.00000000
41.41	0.00000000	-0.36137350	-0.36137350	0.00000000
41.77	0.00000000	-0.36451588	-0.36451588	0.00000000
42.13	0.00000000	-0.36765826	-0.36765826	0.00000000
42.49	0.00000000	-0.37080063	-0.37080063	0.00000000
42.85	0.00000000	-0.37394301	-0.37394301	0.00000000
43.21	0.00000000	-0.37708539	-0.37708539	0.00000000
43.57	0.00000000	-0.38022777	-0.38022777	0.00000000
43.93	0.00000000	-0.38337015	-0.38337015	0.00000000
44.29	0.00000000	-0.38651252	-0.38651252	0.00000000
44.65	0.00000000	-0.38965490	-0.38965490	0.00000000
45.01	0.00000000	-0.39279728	-0.39279728	0.00000000
45.37	0.00000000	-0.39593966	-0.39593966	0.00000000
45.73	0.00000000	-0.39908204	-0.39908204	0.00000000
46.09	0.00000000	-0.40222442	-0.40222442	0.00000000
46.45	0.00000000	-0.40536679	-0.40536679	0.00000000
46.81	0.00000000	-0.40850917	-0.40850917	0.00000000
47.17	0.00000000	-0.41165155	-0.41165155	0.00000000
47.53	0.00000000	-0.41479393	-0.41479393	0.00000000
47.89	0.00000000	-0.41793631	-0.41793631	0.00000000
48.25	0.00000000	-0.42107869	-0.42107869	0.00000000
48.61	0.00000000	-0.42422106	-0.42422106	0.00000000
48.97	0.00000000	-0.42736344	-0.42736344	0.00000000
49.33	0.00000000	-0.43050582	-0.43050582	0.00000000
49.69	0.00000000	-0.43364820	-0.43364820	0.00000000
50.05	0.00000000	-0.43679058	-0.43679058	0.00000000
50.41	0.00000000	-0.43993295	-0.43993295	0.00000000
50.77	0.00000000	-0.44307533	-0.44307533	0.00000000
51.13	0.00000000	-0.44621771	-0.44621771	0.00000000
51.49	0.00000000	-0.44936009	-0.44936009	0.00000000
51.85	0.00000000	-0.45250247	-0.45250247	0.00000000
52.21	0.00000000	-0.45564485	-0.45564485	0.00000000
52.57	0.00000000	-0.45878722	-0.45878722	0.00000000
52.93	0.00000000	-0.46192960	-0.46192960	0.00000000
53.29	0.00000000	-0.46507198	-0.46507198	0.00000000
53.65	0.00000000	-0.46821436	-0.46821436	0.00000000
54.01	0.00000000	-0.47135674	-0.47135674	0.00000000
54.37	0.00000000	-0.47449912	-0.47449912	0.00000000
54.73	0.00000000	-0.47764149	-0.47764149	0.00000000
55.09	0.00000000	-0.48078387	-0.48078387	0.00000000
55.45	0.00000000	-0.48392625	-0.48392625	0.00000000
55.81	0.00000000	-0.48706863	-0.48706863	0.00000000
56.17	0.00000000	-0.49021101	-0.49021101	0.00000000
56.53	0.00000000	-0.49335338	-0.49335338	0.00000000
56.89	0.00000000	-0.49649576	-0.49649576	0.00000000
57.25	0.00000000	-0.49963814	-0.49963814	0.00000000
57.61	0.00000000	-0.50278052	-0.50278052	0.00000000
57.97	0.00000000	-0.50592290	-0.50592290	0.00000000
58.33	0.00000000	-0.50906528	-0.50906528	0.00000000
