Berry Phase Accumulation Data
===========================

Final Berry Phases:
State 0: 0.00000000
State 1: -3.14159265
State 2: -3.14159265
State 3: 0.00000000

Accumulated Berry Phases vs Theta:
Theta (degrees)	State 0	State 1	State 2	State 3
0.00	0.00000000	-0.00000000	-0.00000000	0.00000000
0.18	0.00000000	-0.00031419	-0.00031419	0.00000000
0.36	0.00000000	-0.00062838	-0.00062838	0.00000000
0.54	0.00000000	-0.00094257	-0.00094257	0.00000000
0.72	0.00000000	-0.00125676	-0.00125676	0.00000000
0.90	0.00000000	-0.00157095	-0.00157095	0.00000000
1.08	0.00000000	-0.00188514	-0.00188514	0.00000000
1.26	0.00000000	-0.00219933	-0.00219933	0.00000000
1.44	0.00000000	-0.00251353	-0.00251353	0.00000000
1.62	0.00000000	-0.00282772	-0.00282772	0.00000000
1.80	0.00000000	-0.00314191	-0.00314191	0.00000000
1.98	0.00000000	-0.00345610	-0.00345610	0.00000000
2.16	0.00000000	-0.00377029	-0.00377029	0.00000000
2.34	0.00000000	-0.00408448	-0.00408448	0.00000000
2.52	0.00000000	-0.00439867	-0.00439867	0.00000000
2.70	0.00000000	-0.00471286	-0.00471286	0.00000000
2.88	0.00000000	-0.00502705	-0.00502705	0.00000000
3.06	0.00000000	-0.00534124	-0.00534124	0.00000000
3.24	0.00000000	-0.00565543	-0.00565543	0.00000000
3.42	0.00000000	-0.00596962	-0.00596962	0.00000000
3.60	0.00000000	-0.00628381	-0.00628381	0.00000000
3.78	0.00000000	-0.00659800	-0.00659800	0.00000000
3.96	0.00000000	-0.00691220	-0.00691220	0.00000000
4.14	0.00000000	-0.00722639	-0.00722639	0.00000000
4.32	0.00000000	-0.00754058	-0.00754058	0.00000000
4.50	0.00000000	-0.00785477	-0.00785477	0.00000000
4.68	0.00000000	-0.00816896	-0.00816896	0.00000000
4.86	0.00000000	-0.00848315	-0.00848315	0.00000000
5.04	0.00000000	-0.00879734	-0.00879734	0.00000000
5.22	0.00000000	-0.00911153	-0.00911153	0.00000000
5.40	0.00000000	-0.00942572	-0.00942572	0.00000000
5.58	0.00000000	-0.00973991	-0.00973991	0.00000000
5.76	0.00000000	-0.01005410	-0.01005410	0.00000000
5.94	0.00000000	-0.01036829	-0.01036829	0.00000000
6.12	0.00000000	-0.01068248	-0.01068248	0.00000000
6.30	0.00000000	-0.01099667	-0.01099667	0.00000000
6.48	0.00000000	-0.01131086	-0.01131086	0.00000000
6.66	0.00000000	-0.01162506	-0.01162506	0.00000000
6.84	0.00000000	-0.01193925	-0.01193925	0.00000000
7.02	0.00000000	-0.01225344	-0.01225344	0.00000000
7.20	0.00000000	-0.01256763	-0.01256763	0.00000000
7.38	0.00000000	-0.01288182	-0.01288182	0.00000000
7.56	0.00000000	-0.01319601	-0.01319601	0.00000000
7.74	0.00000000	-0.01351020	-0.01351020	0.00000000
7.92	0.00000000	-0.01382439	-0.01382439	0.00000000
8.10	0.00000000	-0.01413858	-0.01413858	0.00000000
8.28	0.00000000	-0.01445277	-0.01445277	0.00000000
8.46	0.00000000	-0.01476696	-0.01476696	0.00000000
8.64	0.00000000	-0.01508115	-0.01508115	0.00000000
8.82	0.00000000	-0.01539534	-0.01539534	0.00000000
9.00	0.00000000	-0.01570953	-0.01570953	0.00000000
9.18	0.00000000	-0.01602372	-0.01602372	0.00000000
