Berry Phase Accumulation Data
===========================

Final Berry Phases:
State 0: 0.00000000
State 1: -3.14159265
State 2: 0.00000000
State 3: 0.00000000

Accumulated Berry Phases vs Theta:
Theta (degrees)	State 0	State 1	State 2	State 3
0.00	0.00000000	-0.00000000	0.00000000	0.00000000
0.36	0.00000000	-0.00629578	0.00000000	0.00000000
0.72	0.00000000	-0.01259155	0.00000000	0.00000000
1.08	0.00000000	-0.01888733	0.00000000	0.00000000
1.44	0.00000000	-0.02518311	0.00000000	0.00000000
1.80	0.00000000	-0.03147888	0.00000000	0.00000000
2.16	0.00000000	-0.03777466	0.00000000	0.00000000
2.52	0.00000000	-0.04407044	0.00000000	0.00000000
2.88	0.00000000	-0.05036621	0.00000000	0.00000000
3.24	0.00000000	-0.05666199	0.00000000	0.00000000
3.60	0.00000000	-0.06295777	0.00000000	0.00000000
3.96	0.00000000	-0.06925355	0.00000000	0.00000000
4.32	0.00000000	-0.07554932	0.00000000	0.00000000
4.68	0.00000000	-0.08184510	0.00000000	0.00000000
5.04	0.00000000	-0.08814088	0.00000000	0.00000000
5.40	0.00000000	-0.09443665	0.00000000	0.00000000
5.76	0.00000000	-0.10073243	0.00000000	0.00000000
6.12	0.00000000	-0.10702821	0.00000000	0.00000000
6.48	0.00000000	-0.11332398	0.00000000	0.00000000
6.84	0.00000000	-0.11961976	0.00000000	0.00000000
7.20	0.00000000	-0.12591554	0.00000000	0.00000000
7.56	0.00000000	-0.13221131	0.00000000	0.00000000
7.92	0.00000000	-0.13850709	0.00000000	0.00000000
8.28	0.00000000	-0.14480287	0.00000000	0.00000000
8.64	0.00000000	-0.15109864	0.00000000	0.00000000
9.00	0.00000000	-0.15739442	0.00000000	0.00000000
9.36	0.00000000	-0.16369020	0.00000000	0.00000000
9.72	0.00000000	-0.16998598	0.00000000	0.00000000
10.08	0.00000000	-0.17628175	0.00000000	0.00000000
10.44	0.00000000	-0.18257753	0.00000000	0.00000000
10.80	0.00000000	-0.18887331	0.00000000	0.00000000
11.16	0.00000000	-0.19516908	0.00000000	0.00000000
11.52	0.00000000	-0.20146486	0.00000000	0.00000000
11.88	0.00000000	-0.20776064	0.00000000	0.00000000
12.24	0.00000000	-0.21405641	0.00000000	0.00000000
12.60	0.00000000	-0.22035219	0.00000000	0.00000000
12.96	0.00000000	-0.22664797	0.00000000	0.00000000
13.32	0.00000000	-0.23294374	0.00000000	0.00000000
13.68	0.00000000	-0.23923952	0.00000000	0.00000000
14.04	0.00000000	-0.24553530	0.00000000	0.00000000
14.40	0.00000000	-0.25183107	0.00000000	0.00000000
14.76	0.00000000	-0.25812685	0.00000000	0.00000000
15.12	0.00000000	-0.26442263	0.00000000	0.00000000
15.48	0.00000000	-0.27071841	0.00000000	0.00000000
15.84	0.00000000	-0.27701418	0.00000000	0.00000000
16.20	0.00000000	-0.28330996	0.00000000	0.00000000
16.56	0.00000000	-0.28960574	0.00000000	0.00000000
16.92	0.00000000	-0.29590151	0.00000000	0.00000000
17.28	0.00000000	-0.30219729	0.00000000	0.00000000
17.64	0.00000000	-0.30849307	0.00000000	0.00000000
18.00	0.00000000	-0.31478884	0.00000000	0.00000000
18.36	0.00000000	-0.32108462	0.00000000	0.00000000
18.72	0.00000000	-0.32738040	0.00000000	0.00000000
19.08	0.00000000	-0.33367617	0.00000000	0.00000000
19.44	0.00000000	-0.33997195	0.00000000	0.00000000
19.80	0.00000000	-0.34626773	0.00000000	0.00000000
20.16	0.00000000	-0.35256350	0.00000000	0.00000000
20.52	0.00000000	-0.35885928	0.00000000	0.00000000
20.88	0.00000000	-0.36515506	0.00000000	0.00000000
21.24	0.00000000	-0.37145083	0.00000000	0.00000000
21.60	0.00000000	-0.37774661	0.00000000	0.00000000
21.96	0.00000000	-0.38404239	0.00000000	0.00000000
22.32	0.00000000	-0.39033817	0.00000000	0.00000000
22.68	0.00000000	-0.39663394	0.00000000	0.00000000
23.04	0.00000000	-0.40292972	0.00000000	0.00000000
