Theta Phase_Diff Phase_Accumulated
0.000000 0.000000 0.000000
0.128228 0.000000 0.000000
0.256457 0.000000 0.000000
0.384685 0.000000 0.000000
0.512913 0.000000 0.000000
0.641141 0.000000 0.000000
0.769370 0.000000 0.000000
0.897598 0.000000 0.000000
1.025826 0.000000 0.000000
1.154054 0.000000 0.000000
1.282283 0.000000 0.000000
1.410511 0.000000 0.000000
1.538739 0.000000 0.000000
1.666968 0.000000 0.000000
1.795196 0.000000 0.000000
1.923424 0.000000 0.000000
2.051652 0.000000 0.000000
2.179881 0.000000 0.000000
2.308109 0.000000 0.000000
2.436337 0.000000 0.000000
2.564565 0.000000 0.000000
2.692794 0.000000 0.000000
2.821022 0.000000 0.000000
2.949250 0.000000 0.000000
3.077479 0.000000 0.000000
3.205707 0.000000 0.000000
3.333935 0.000000 0.000000
3.462163 0.000000 0.000000
3.590392 0.000000 0.000000
3.718620 0.000000 0.000000
3.846848 0.000000 0.000000
3.975076 0.000000 0.000000
4.103305 0.000000 0.000000
4.231533 0.000000 0.000000
4.359761 0.000000 0.000000
4.487990 0.000000 0.000000
4.616218 0.000000 0.000000
4.744446 0.000000 0.000000
4.872674 0.000000 0.000000
5.000903 0.000000 0.000000
5.129131 0.000000 0.000000
5.257359 0.000000 0.000000
5.385587 0.000000 0.000000
5.513816 0.000000 0.000000
5.642044 0.000000 0.000000
5.770272 0.000000 0.000000
5.898500 0.000000 0.000000
6.026729 0.000000 0.000000
6.154957 0.000000 0.000000
0.000000 0.000000 0.000000
0.128228 0.000000 0.000000
0.256457 0.000000 0.000000
0.384685 0.000000 0.000000
0.512913 3.141593 3.141593
0.641141 0.000000 3.141593
0.769370 0.000000 3.141593
0.897598 0.000000 3.141593
1.025826 0.000000 3.141593
1.154054 0.000000 3.141593
1.282283 0.000000 3.141593
1.410511 0.000000 3.141593
1.538739 0.000000 3.141593
1.666968 0.000000 3.141593
1.795196 0.000000 3.141593
1.923424 0.000000 3.141593
2.051652 0.000000 3.141593
2.179881 0.000000 3.141593
2.308109 3.141593 6.283185
2.436337 0.000000 6.283185
2.564565 3.141593 9.424778
2.692794 0.000000 9.424778
2.821022 0.000000 9.424778
2.949250 0.000000 9.424778
3.077479 0.000000 9.424778
3.205707 0.000000 9.424778
3.333935 0.000000 9.424778
3.462163 0.000000 9.424778
3.590392 0.000000 9.424778
3.718620 0.000000 9.424778
3.846848 0.000000 9.424778
3.975076 0.000000 9.424778
4.103305 0.000000 9.424778
4.231533 0.000000 9.424778
4.359761 0.000000 9.424778
4.487990 0.000000 9.424778
4.616218 3.141593 12.566371
4.744446 0.000000 12.566371
4.872674 0.000000 12.566371
5.000903 0.000000 12.566371
5.129131 0.000000 12.566371
5.257359 0.000000 12.566371
5.385587 3.141593 15.707963
5.513816 0.000000 15.707963
5.642044 0.000000 15.707963
5.770272 0.000000 15.707963
5.898500 0.000000 15.707963
6.026729 0.000000 15.707963
6.154957 0.000000 15.707963
0.000000 0.000000 0.000000
0.128228 0.000000 0.000000
0.256457 0.000000 0.000000
0.384685 0.000000 0.000000
0.512913 3.141593 3.141593
0.641141 0.000000 3.141593
0.769370 0.000000 3.141593
0.897598 0.000000 3.141593
1.025826 0.000000 3.141593
1.154054 0.000000 3.141593
1.282283 0.000000 3.141593
1.410511 0.000000 3.141593
1.538739 0.000000 3.141593
1.666968 0.000000 3.141593
1.795196 0.000000 3.141593
1.923424 0.000000 3.141593
2.051652 0.000000 3.141593
2.179881 0.000000 3.141593
2.308109 3.141593 6.283185
2.436337 0.000000 6.283185
2.564565 3.141593 9.424778
2.692794 0.000000 9.424778
