# Theta (radians)	State 0	State 1	State 2	State 3
0.00000000	0.00000000	0.00000000	0.00000000	3.14159265
0.12822827	0.00000000	0.00000000	0.00000000	3.14159265
0.25645654	0.00000000	0.00000000	0.00000000	3.14159265
0.38468481	0.00000000	0.00000000	0.00000000	3.14159265
0.51291309	0.00000000	3.14159265	3.14159265	3.14159265
0.64114136	0.00000000	3.14159265	3.14159265	3.14159265
0.76936963	0.00000000	3.14159265	3.14159265	3.14159265
0.89759790	0.00000000	3.14159265	3.14159265	3.14159265
1.02582617	0.00000000	3.14159265	3.14159265	3.14159265
1.15405444	0.00000000	3.14159265	3.14159265	3.14159265
1.28228272	0.00000000	3.14159265	3.14159265	3.14159265
1.41051099	0.00000000	3.14159265	3.14159265	3.14159265
1.53873926	0.00000000	3.14159265	3.14159265	3.14159265
1.66696753	0.00000000	3.14159265	3.14159265	3.14159265
1.79519580	0.00000000	3.14159265	3.14159265	3.14159265
1.92342407	0.00000000	3.14159265	3.14159265	3.14159265
2.05165235	0.00000000	3.14159265	3.14159265	3.14159265
2.17988062	0.00000000	3.14159265	3.14159265	3.14159265
2.30810889	0.00000000	6.28318531	6.28318531	3.14159265
2.43633716	0.00000000	6.28318531	6.28318531	3.14159265
2.56456543	0.00000000	9.42477796	9.42477796	3.14159265
2.69279370	0.00000000	9.42477796	9.42477796	3.14159265
2.82102197	0.00000000	9.42477796	9.42477796	3.14159265
2.94925025	0.00000000	9.42477796	9.42477796	3.14159265
3.07747852	0.00000000	9.42477796	9.42477796	3.14159265
3.20570679	0.00000000	9.42477796	9.42477796	3.14159265
3.33393506	0.00000000	9.42477796	9.42477796	3.14159265
3.46216333	0.00000000	9.42477796	9.42477796	3.14159265
3.59039160	0.00000000	9.42477796	9.42477796	3.14159265
3.71861988	0.00000000	9.42477796	9.42477796	3.14159265
3.84684815	0.00000000	9.42477796	9.42477796	3.14159265
3.97507642	0.00000000	9.42477796	9.42477796	3.14159265
4.10330469	0.00000000	9.42477796	9.42477796	3.14159265
4.23153296	0.00000000	9.42477796	9.42477796	3.14159265
4.35976123	0.00000000	9.42477796	9.42477796	3.14159265
4.48798951	0.00000000	9.42477796	9.42477796	3.14159265
4.61621778	0.00000000	12.56637061	12.56637061	3.14159265
4.74444605	0.00000000	12.56637061	12.56637061	3.14159265
4.87267432	0.00000000	12.56637061	12.56637061	3.14159265
5.00090259	0.00000000	12.56637061	12.56637061	3.14159265
5.12913086	0.00000000	12.56637061	12.56637061	3.14159265
5.25735913	0.00000000	12.56637061	12.56637061	3.14159265
5.38558741	0.00000000	15.70796327	15.70796327	3.14159265
5.51381568	0.00000000	15.70796327	15.70796327	3.14159265
5.64204395	0.00000000	15.70796327	15.70796327	3.14159265
5.77027222	0.00000000	15.70796327	15.70796327	3.14159265
5.89850049	0.00000000	15.70796327	15.70796327	3.14159265
6.02672876	0.00000000	15.70796327	15.70796327	3.14159265
6.15495704	0.00000000	15.70796327	15.70796327	6.28318531
6.28318531	0.00000000	15.70796327	15.70796327	6.28318531
