# Theta (radians)	State 0	State 1	State 2	State 3
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.12822827	0.50000000	-0.49851983	-0.49629003	-0.49774917
0.25645654	1.00000000	-0.99666446	-0.99252110	0.00025340
0.38468481	1.50000000	-0.49925753	-0.49657384	0.49860629
0.51291309	2.00000000	-0.00312915	-0.00139089	0.99733259
0.64114136	2.50000000	0.49097009	0.49226741	1.49639512
0.76936963	3.00000000	0.98227491	0.98356616	1.99571888
0.89759790	-2.78318531	1.47066972	1.47226391	2.49521049
1.02582617	-2.28318531	1.95748392	1.95951449	2.99476984
1.15405444	-1.78318531	2.44512537	2.44752484	-2.78889002
1.28228272	-1.28318531	2.93541331	2.93792641	-2.28949944
1.41051099	-0.78318531	-2.85453256	-2.85230490	-1.79034026
1.53873926	-0.28318531	-2.35898872	-2.35753414	-1.29149541
1.66696753	0.21681469	-1.86193711	-1.86177378	-0.79301721
1.79519580	0.71681469	-1.36399084	-1.36560125	-0.29490492
1.92342407	1.21681469	-0.86556362	-0.86931827	0.20291349
2.05165235	1.71681469	-0.36694183	-0.37302736	0.70058027
2.17988062	2.21681469	0.13164220	0.12326412	1.19827837
2.30810889	2.71681469	0.62994559	0.61952952	1.69618207
2.43633716	-3.06637062	1.12764820	1.11561067	2.19441208
2.56456543	-2.56637062	1.62427649	1.61111998	2.69301551
2.69279370	-2.06637062	2.11914486	2.10538419	-3.09121241
2.82102197	-1.56637062	2.61144532	2.59754485	-2.59196594
2.94925025	-1.06637062	3.10074360	3.08706041	-2.09251934
3.07747852	-0.56637062	-2.69534300	-2.70861248	-1.59297129
3.20570679	-0.06637062	-2.20824429	-2.22110006	-1.09342325
3.33393506	0.43362938	-1.71894601	-1.73158450	-0.59397664
3.46216333	0.93362938	-1.22664555	-1.23942384	-0.09473017
3.59039160	1.43362938	-0.73177717	-0.74515964	0.40422721
3.71861988	1.93362938	-0.23514889	-0.24965032	0.90283064
3.84684815	2.43362938	0.26255373	0.24643082	1.40106065
3.97507642	2.93362938	0.76085711	0.74269623	1.89896435
4.10330469	-2.84955592	1.25944115	1.23898771	2.39666245
4.23153296	-2.34955592	1.75806294	1.73527862	2.89432923
4.35976123	-1.84955592	1.25963573	1.23899564	-2.89103767
4.48798951	-1.34955592	0.76168945	0.74282311	-2.39292538
4.61621778	-0.84955592	1.25874106	1.23858347	-1.89444718
4.74444605	-0.34955592	1.75428489	1.73335423	-1.39560233
4.87267432	0.15044408	2.24752433	2.22630823	-0.89644315
5.00090259	0.65044408	2.73781228	2.71670980	-0.39705257
5.12913086	1.15044408	-3.05773158	-3.07846516	0.10247288
5.25735913	1.65044408	-2.57091738	-2.59121458	0.60203224
5.38558741	2.15044408	-3.05931220	-3.07991234	1.10152384
5.51381568	2.65044408	2.73256829	2.71197422	1.60084760
5.64204395	-3.13274123	-3.05651779	-3.07755278	2.09991013
5.77027222	-2.63274123	-2.56038941	-2.58236983	2.59863644
5.89850049	-2.13274123	-2.06298247	-2.08642256	3.09698932
6.02672876	-1.63274123	-1.56483784	-1.59019149	-2.68819341
6.15495704	-1.13274123	-1.06631801	-1.09390146	3.09724272
6.28318531	-0.13274123	-0.06700422	-0.09575795	2.09841554
