Berry Phase Accumulation Data
===========================

Final Berry Phases:
State 0: -3.14159265
State 1: -3.14159265
State 2: -3.14159265
State 3: -3.14159265

Accumulated Berry Phases vs Theta:
Theta (degrees)	State 0	State 1	State 2	State 3
0.00	-3.14159265	-3.14159265	-3.14159265	-3.14159265	
7.35	-3.14159265	-3.14159265	-3.14159265	-3.14159265	
14.69	-3.14159265	-3.14159265	-3.14159265	-3.14159265	
22.04	-3.14159265	-3.14159265	-3.14159265	-3.14159265	
29.39	-3.14159265	-3.14159265	-3.14159265	-3.14159265	
36.73	-3.14159265	-3.14159265	-3.14159265	-3.14159265	
44.08	-3.14159265	-3.14159265	-3.14159265	-3.14159265	
51.43	-3.14159265	-3.14159265	-3.14159265	-3.14159265	
58.78	-3.14159265	-3.14159265	-3.14159265	-3.14159265	
66.12	-3.14159265	-3.14159265	-3.14159265	-3.14159265	
73.47	-3.14159265	-3.14159265	-3.14159265	-3.14159265	
80.82	-3.14159265	-3.14159265	-3.14159265	-3.14159265	
88.16	-3.14159265	-3.14159265	-3.14159265	-3.14159265	
95.51	-3.14159265	-3.14159265	-3.14159265	-3.14159265	
102.86	-3.14159265	-3.14159265	-3.14159265	-3.14159265	
110.20	-3.14159265	-3.14159265	-3.14159265	-3.14159265	
117.55	-3.14159265	-3.14159265	-3.14159265	-3.14159265	
124.90	-3.14159265	-3.14159265	-3.14159265	-3.14159265	
132.24	-3.14159265	-3.14159265	-3.14159265	-3.14159265	
139.59	-3.14159265	-3.14159265	-3.14159265	-3.14159265	
146.94	-3.14159265	-3.14159265	-3.14159265	-3.14159265	
154.29	-3.14159265	-3.14159265	-3.14159265	-3.14159265	
161.63	-3.14159265	-3.14159265	-3.14159265	-3.14159265	
168.98	-3.14159265	-3.14159265	-3.14159265	-3.14159265	
176.33	-3.14159265	-3.14159265	-3.14159265	-3.14159265	
183.67	-3.14159265	-3.14159265	-3.14159265	-3.14159265	
191.02	-3.14159265	-3.14159265	-3.14159265	-3.14159265	
198.37	-3.14159265	-3.14159265	-3.14159265	-3.14159265	
205.71	-3.14159265	-3.14159265	-3.14159265	-3.14159265	
213.06	-3.14159265	-3.14159265	-3.14159265	-3.14159265	
220.41	-3.14159265	-3.14159265	-3.14159265	-3.14159265	
227.76	-3.14159265	-3.14159265	-3.14159265	-3.14159265	
235.10	-3.14159265	-3.14159265	-3.14159265	-3.14159265	
242.45	-3.14159265	-3.14159265	-3.14159265	-3.14159265	
249.80	-3.14159265	-3.14159265	-3.14159265	-3.14159265	
257.14	-3.14159265	-3.14159265	-3.14159265	-3.14159265	
264.49	-3.14159265	-3.14159265	-3.14159265	-3.14159265	
271.84	-3.14159265	-3.14159265	-3.14159265	-3.14159265	
279.18	-3.14159265	-3.14159265	-3.14159265	-3.14159265	
286.53	-3.14159265	-3.14159265	-3.14159265	-3.14159265	
293.88	-3.14159265	-3.14159265	-3.14159265	-3.14159265	
301.22	-3.14159265	-3.14159265	-3.14159265	-3.14159265	
308.57	-3.14159265	-3.14159265	-3.14159265	-3.14159265	
315.92	-3.14159265	-3.14159265	-3.14159265	-3.14159265	
323.27	-3.14159265	-3.14159265	-3.14159265	-3.14159265	
330.61	-3.14159265	-3.14159265	-3.14159265	-3.14159265	
337.96	-3.14159265	-3.14159265	-3.14159265	-3.14159265	
345.31	-3.14159265	-3.14159265	-3.14159265	-3.14159265	
352.65	-3.14159265	-3.14159265	-3.14159265	-3.14159265	
360.00	-3.14159265	-3.14159265	-3.14159265	-3.14159265	
