Berry Phase Accumulation Data
===========================

Final Berry Phases:
State 0: 0.00000000
State 1: 3.14159265
State 2: 3.14159265
State 3: 0.00000000

Accumulated Berry Phases vs Theta:
Theta (degrees)	State 0	State 1	State 2	State 3
0.00	0.00000000	0.00000000	0.00000000	0.00000000	
0.36	0.00000000	0.00000000	0.00000000	0.00000000	
0.72	0.00000000	0.00000000	0.00000000	0.00000000	
1.08	0.00000000	0.00000000	0.00000000	0.00000000	
1.44	0.00000000	0.00000000	0.00000000	0.00000000	
1.80	0.00000000	0.00000000	0.00000000	0.00000000	
2.16	0.00000000	0.00000000	0.00000000	0.00000000	
2.52	0.00000000	0.00000000	0.00000000	0.00000000	
2.88	0.00000000	0.00000000	0.00000000	0.00000000	
3.24	0.00000000	0.00000000	0.00000000	0.00000000	
3.60	0.00000000	0.00000000	0.00000000	0.00000000	
3.96	0.00000000	0.00000000	0.00000000	0.00000000	
4.32	0.00000000	0.00000000	0.00000000	0.00000000	
4.68	0.00000000	0.00000000	0.00000000	0.00000000	
5.05	0.00000000	0.00000000	0.00000000	0.00000000	
5.41	0.00000000	0.00000000	0.00000000	0.00000000	
5.77	0.00000000	0.00000000	0.00000000	0.00000000	
6.13	0.00000000	0.00000000	0.00000000	0.00000000	
6.49	0.00000000	0.00000000	0.00000000	0.00000000	
6.85	0.00000000	0.00000000	0.00000000	0.00000000	
7.21	0.00000000	0.00000000	0.00000000	0.00000000	
7.57	0.00000000	0.00000000	0.00000000	0.00000000	
7.93	0.00000000	0.00000000	0.00000000	0.00000000	
8.29	0.00000000	0.00000000	0.00000000	0.00000000	
8.65	0.00000000	0.00000000	0.00000000	0.00000000	
9.01	0.00000000	0.00000000	0.00000000	0.00000000	
9.37	0.00000000	0.00000000	0.00000000	0.00000000	
9.73	0.00000000	0.00000000	0.00000000	0.00000000	
10.09	0.00000000	0.00000000	0.00000000	0.00000000	
10.45	0.00000000	0.00000000	0.00000000	0.00000000	
10.81	0.00000000	0.00000000	0.00000000	0.00000000	
11.17	0.00000000	0.00000000	0.00000000	0.00000000	
11.53	0.00000000	0.00000000	0.00000000	0.00000000	
11.89	0.00000000	0.00000000	0.00000000	0.00000000	
12.25	0.00000000	0.00000000	0.00000000	0.00000000	
12.61	0.00000000	0.00000000	0.00000000	0.00000000	
12.97	0.00000000	0.00000000	0.00000000	0.00000000	
13.33	0.00000000	0.00000000	0.00000000	0.00000000	
13.69	0.00000000	0.00000000	0.00000000	0.00000000	
14.05	0.00000000	0.00000000	0.00000000	0.00000000	
14.41	0.00000000	0.00000000	0.00000000	0.00000000	
14.77	0.00000000	0.00000000	0.00000000	0.00000000	
15.14	0.00000000	0.00000000	0.00000000	0.00000000	
15.50	0.00000000	0.00000000	0.00000000	0.00000000	
15.86	0.00000000	0.00000000	0.00000000	0.00000000	
16.22	0.00000000	0.00000000	0.00000000	0.00000000	
16.58	0.00000000	0.00000000	0.00000000	0.00000000	
16.94	0.00000000	0.00000000	0.00000000	0.00000000	
17.30	0.00000000	0.00000000	0.00000000	0.00000000	
17.66	0.00000000	0.00000000	0.00000000	0.00000000	
18.02	0.00000000	0.00000000	0.00000000	0.00000000	
18.38	0.00000000	0.00000000	0.00000000	0.00000000	
18.74	0.00000000	0.00000000	0.00000000	0.00000000	
19.10	0.00000000	0.00000000	0.00000000	0.00000000	
19.46	0.00000000	0.00000000	0.00000000	0.00000000	
19.82	0.00000000	0.00000000	0.00000000	0.00000000	
20.18	0.00000000	0.00000000	0.00000000	0.00000000	
20.54	0.00000000	0.00000000	0.00000000	0.00000000	
20.90	0.00000000	0.00000000	0.00000000	0.00000000	
21.26	0.00000000	0.00000000	0.00000000	0.00000000	
21.62	0.00000000	0.00000000	0.00000000	0.00000000	
21.98	0.00000000	0.00000000	0.00000000	0.00000000	
22.34	0.00000000	0.00000000	0.00000000	0.00000000	
22.70	0.00000000	0.00000000	0.00000000	0.00000000	
23.06	0.00000000	0.00000000	0.00000000	0.00000000	
23.42	0.00000000	0.00000000	0.00000000	0.00000000	
23.78	0.00000000	0.00000000	0.00000000	0.00000000	
24.14	0.00000000	0.00000000	0.00000000	0.00000000	
24.50	0.00000000	0.00000000	0.00000000	0.00000000	
24.86	0.00000000	0.00000000	0.00000000	0.00000000	
25.23	0.00000000	0.00000000	0.00000000	0.00000000	
25.59	0.00000000	0.00000000	0.00000000	0.00000000	
