#Theta Curv_0 Curv_1 Curv_2 Curv_3
0.000000 7.798592 7.793241 7.784114 -7.789446
0.128228 3.899296 -3.887753 -3.870364 -3.881743
0.256457 3.899296 -3.884827 -3.869904 3.883719
0.384685 3.899296 3.879074 3.867690 3.886451
0.512913 3.899296 3.869103 3.861730 3.889363
0.641141 3.899296 3.853278 3.849840 3.891985
0.769370 3.899296 3.831486 3.831439 3.894022
0.897598 3.899296 3.808792 3.811155 3.895331
1.025826 3.899296 3.796465 3.799869 3.895860
1.154054 3.899296 3.802917 3.805794 3.895595
1.282283 3.899296 3.823556 3.824442 3.894543
1.410511 3.899296 3.846573 3.844347 3.892739
1.538739 3.899296 3.864544 3.858515 3.890288
1.666968 3.899296 3.876303 3.866233 3.887428
1.795196 3.899296 3.883280 3.869447 3.884575
1.923424 3.899296 3.887031 3.870309 3.882283
2.051652 3.899296 3.888548 3.870370 3.881100
2.179881 3.899296 3.888254 3.870375 3.881345
2.308109 3.899296 3.886065 3.870172 3.882948
2.436337 3.899296 3.881380 3.868735 3.885493
2.564565 3.899296 3.873001 3.864275 3.888405
2.692794 3.899296 3.859277 3.854565 3.891165
2.821022 3.899296 3.839251 3.838160 3.893420
2.949250 3.899296 3.815838 3.817532 3.894980
3.077479 3.899296 3.798684 3.801911 3.895772
3.205707 3.899296 3.798684 3.801911 3.895772
3.333935 3.899296 3.815838 3.817532 3.894980
3.462163 3.899296 3.839251 3.838160 3.893420
3.590392 3.899296 3.859277 3.854565 3.891165
3.718620 3.899296 3.873001 3.864275 3.888405
3.846848 3.899296 3.881380 3.868735 3.885493
3.975076 3.899296 3.886065 3.870172 3.882948
4.103305 3.899296 3.888254 3.870375 3.881345
4.231533 3.899296 3.888548 3.870370 3.881100
4.359761 3.899296 -3.887031 -3.870309 3.882283
4.487990 3.899296 -3.883280 -3.869447 3.884575
4.616218 3.899296 3.876303 3.866233 3.887428
4.744446 3.899296 3.864544 3.858515 3.890288
4.872674 3.899296 3.846573 3.844347 3.892739
5.000903 3.899296 3.823556 3.824442 3.894543
5.129131 3.899296 3.802917 3.805794 3.895595
5.257359 3.899296 3.796465 3.799869 3.895860
5.385587 3.899296 -3.808792 -3.811155 3.895331
5.513816 3.899296 -3.831486 -3.831439 3.894022
5.642044 3.899296 3.853278 3.849840 3.891985
5.770272 3.899296 3.869103 3.861730 3.889363
5.898500 3.899296 3.879074 3.867690 3.886451
6.026729 3.899296 3.884827 3.869904 3.883719
6.154957 3.899296 3.887753 3.870364 -3.881743
6.283185 7.798592 7.793241 7.784114 -7.789446
